,#Reviews,developer
387,10,Thomson Interactive
388,11,Dovetail Games
389,14,Dovetail Games
390,13,Dovetail Games
391,40,Dovetail Games
392,743,Kukouri
393,91,Coreplay GmbH
394,26,Rubicon Development
395,10,Airtight Games
396,12,Trickstar Games
397,"1,837",Spooky Squid Games Inc.
398,"6,654",Vlambeer
399,25,Robot Entertainment
400,"10,964","Monolith Productions, Inc."
401,297,ASK Homework
402,41,Dovetail Games
403,31,Rebellion
404,"21,285",Runic Games
405,146,"Games Farm, 3Division"
406,207,City Interactive
407,64,Dead Mage
408,17,Finn Morgan
409,26,Robot Entertainment
410,350,The Behemoth
411,392,The Behemoth
412,"35,164",The Behemoth
413,29,BlueGiant Interactive
414,864,Opus
415,43,Ubisoft - San Francisco
416,303,Targem Games
417,12,Paradox Interactive
418,"42,110",Torn Banner Studios
419,210,Croteam
420,64,Paradox Interactive
421,16,Gaming Minds
422,125,IPACS
423,38,Rebellion
424,"1,556",Power of 2
425,10,Dovetail Games
426,246,Denis Galanin (mif2000)
427,766,Black Forest Games
428,13,"Haemimont Games, Feral Interactive (Mac)"
429,44,MumboJumbo
430,250,Illwinter Game Design
431,439,1C-SoftClub
432,"4,726",Lukewarm Media
433,10,Eugen Systems
434,236,Ankama Games
435,"2,091","Xavi Canal, Ben Palgi"
436,18,"Haemimont Games, Feral Interactive (Mac)"
437,83,Paradox Development Studio
438,12,MeshTools
439,467,I-deal Games
440,799,IonFx
441,463,Curve Studios
442,130,SimBin Studios AB
443,10,Reppo
444,10,Paradox Development Studio
445,14,"Haemimont Games, Feral Interactive (Mac)"
446,"1,940",Eyedentity Games Inc.
447,201,Subatomic Studios LLC
448,30,Crankshaft Games
449,48,Dovetail Games
450,"1,019",Ascaron
451,22,MumboJumbo
452,170,DnS Development
453,10,The Sims Studio
454,14,"Capcom U.S.A., Inc."
455,825,Focus Home Interactive
456,18,Dovetail Games
457,14,Dovetail Games
458,"111,350",SCS Software
459,"8,335",
460,45,Jet Set Games
461,133,Paradox Development Studio
462,54,Sumo Digital
463,57,Dovetail Games
464,16,The Farm 51
465,"1,224",Cardboard Computer
466,"2,423","Ty Taylor and Mario Castañeda, The Quantum Astrophysicists Guild"
467,20,"Arcen Games, LLC"
468,440,Puppygames
469,"2,315",Team17 Digital Ltd
470,98,Digital Eel
471,"1,795",The Men Who Wear Many Hats
472,"1,626","Redlynx Ltd, Ubisoft  Shanghaï"
473,14,Carbon Games
474,49,Zeptolab UK Limited
475,455,"Sean Han Tani, Marina Kittaka"
476,"1,667",Artifice Studio
477,116,3 Sprockets
478,18,Lukewarm Media
479,"40,854","Skybox Labs, Hidden Path Entertainment, Ensemble Studios, Forgotten Empires"
480,528,Nadeo
481,465,ACE Team
482,29,Owlchemy Labs
483,444,Born Ready Games Ltd.
484,16,Rich Vreeland (Disasterpeace)
485,"7,503",Polytron Corporation
486,309,The Binary Mill
487,"2,638","Gravity, Inc."
488,12,Dovetail Games
489,22,Dovetail Games
490,882,Coffee Stain Studios
491,11,MumboJumbo
492,52,"HeR Interactive, Inc."
493,219,11 bit studios
494,370,Actalogic
495,271,Mousechief
496,587,Nival
497,274,Zeboyd Games
498,24,"Sperasoft, Inc."
499,167,"Sperasoft, Inc."
500,59,Virtuos
501,32,"Sperasoft, Inc."
502,11,Dovetail Games
503,"2,552",Nadeo
504,14,The Farm 51
505,226,Frogwares
506,444,Milestone S.r.l.
507,155,Team2Bit
508,23,Brain Slap Studio
509,33,Dovetail Games
510,19,NeocoreGames
511,"12,070",Cellar Door Games
512,248,nFusion Interactive
513,61,Eko Software
514,16,"Codemasters Racing, Feral Interactive (Mac)"
515,19,Deck 13
516,"2,055",Dragonfly
517,277,Nadeo
518,19,"Codemasters Racing, Feral Interactive (Mac)"
519,"939,602",
520,17,Coffee Stain Studios
521,"7,882",
522,"2,506",DrinkBox Studios
523,829,Exato Games Studio
524,"21,737",Lucas Pope
525,"3,125",Crackshell
526,15,Paradox Development Studio
527,136,Paradox Development Studio
528,10,Paradox Development Studio
529,18,Paradox Development Studio
530,"30,995",Paradox Development Studio
531,"1,379",Full Control Studios
532,"10,898",Fullbright
533,814,Petit Depotto
534,13,Dark Vale Games
535,426,Love Conquers All Games
536,28,Eagle Dynamics SA
537,345,Threaks
538,"2,175",Might and Delight
539,841,Witch Beam
540,162,Geeta Games
541,11,
542,21,Greg Lobanov
543,64,FullPowerSideAttack.com
544,"24,196",Greenheart Games
545,"8,102",U.S. Army
546,"1,070",
547,"1,329",Crazy Viking Studios
548,"3,353",SNK CORPORATION
549,239,
550,412,"Mediatonic, The Irregular Corporation"
551,13,Reppo
552,248,Phoenix Online Studios
553,40,Belsimtek
554,13,"Haemimont Games, Feral Interactive (Mac)"
555,"1,637",SCS Software
556,131,
557,288,North of Earth
558,"2,225",FreakZone Games
559,296,Saibot Studios
560,"1,370",Zootfly
561,383,
562,31,Paradox Development Studio
563,173,Toontraxx Studios
564,758,Ice-Pick Lodge
565,178,Auroch Digital
566,187,Firedance Games
567,106,Crystal Dynamics
568,334,MagicalTimeBean
569,19,Giants Software
570,28,Giants Software
571,"3,050",Giants Software
572,"10,498",Poppermost Productions
573,31,Influenzo
574,"1,468",RuneStorm
575,14,The Farm 51
576,533,Studio Bean
577,393,
578,"64,588",Grinding Gear Games
579,"49,145",Keen Software House
580,39,Armstrong Powerhouse
581,11,Dovetail Games
582,116,Kuno Interactive
583,142,SCS Software
584,79,8th Floor Games
585,399,Studio Evil
586,"1,626",BetaDwarf
587,45,Digital Leisure Inc.
588,"7,888","Monochrome, Inc"
589,369,Scientifically Proven
590,"3,844",Blue Isle Studios
591,380,Wales Interactive
592,82,Actalogic
593,186,Actalogic
594,87,Cipher Prime Studios
595,394,Ex Nihilo
596,92,11 bit studios
597,112,11 bit studios
598,828,QCF Design
599,301,
600,256,Filament Games
601,"15,877","Hopoo Games, LLC"
602,"13,558",The Indie Stone
603,"4,695",Hanako Games
604,47,Arkedo
605,176,"Double Eleven, Q-Games Ltd."
606,116,
607,63,
608,502,Triple.B.Titles
609,675,Spellbound
610,913,Space Budgie
611,23,Neko Entertainment
612,35,Dovetail Games
613,228,Renegade Kid
614,309,
615,182,DotEmu
616,139,
617,29,Dovetail Games
618,227,Vivid Games
619,"2,697",Image &amp; Form Games
620,25,Upper Byte
621,120,Crescent Moon Games
622,193,Agharta Studio
623,28,SeeThrough Studios
624,30,Sumo Digital
625,621,
626,959,Fishcow Studio
627,282,"Ludosity, Remar Games"
628,173,Frima Studio
629,230,GRAOUMF
630,"1,355",
631,163,Arachnid Games
632,72,Traveller's Tales
633,21,Michael Todd Games
634,106,Jason Oda
635,452,Semaphore
636,63,"Ville Mönkkönen, Anne Mönkkönen"
637,82,WizarBox
638,521,Hörberg Productions
639,207,Altar Games
640,188,Spicyhorse Games
641,43,Sumo Digital
642,"8,715",Stoic
643,20,Iocaine Studios
644,325,Zen Studios
645,61,Bill and Eli Productions
646,34,Jugilus
647,"1,915",Daedalic Entertainment
648,"68,400",New World Interactive
649,"1,432",Idea Factory
650,694,Cyanide Studio
651,432,JoyMasher
652,522,Artifex Mundi
653,510,Cyan Worlds
654,327,L3O Interactive
655,27,Positech Games
656,379,Milkstone Studios
657,25,"TT Fusion, Traveller's Tales, Feral Interactive (Mac)"
658,"1,353","TT Fusion, Traveller's Tales, Feral Interactive (Mac)"
659,50,Seaven Studio
660,"3,022",Necrophone Games
661,723,Fred Wood
662,19,MumboJumbo
663,21,MumboJumbo
664,"2,874",Matthew Brown
665,962,Matthew Brown
666,"1,346","Double Helix Games, Capcom"
667,448,"Dejobaan Games, LLC"
668,309,"Zaxis Games, B-evil"
669,65,Parallax
670,60,Dovetail Games
671,25,Cateia Games
672,395,Dancing Dragon Games
673,"1,177",Alastair John Jack
674,361,Climax Studios
675,499,Rsupport Inc.
676,45,Rocket Jump
677,74,app2fun
678,28,Paradox Development Studio
679,13,Paradox Development Studio
680,13,Paradox Development Studio
681,56,Kheops Studio
682,24,Sector3 Studios AB
683,144,Red Wasp Design Ltd
684,"1,601",Rocket Bear Games
685,140,Excalibur
686,445,ComiPo! LLP
687,266,Vector Unit
688,214,"INTERMARUM, ONE MORE LEVEL"
689,601,Hydravision Entertainment
690,270,Hydravision Entertainment
691,"1,488",Matt Thorson
692,40,Burian Media Enterprises
693,26,"International Games System, Co., LTD."
694,834,"Flashback Games, The Lordz Games Studio"
695,14,"Flashback Games, The Lordz Games Studio"
696,17,"Flashback Games, The Lordz Games Studio"
697,11,"Flashback Games, The Lordz Games Studio"
698,956,Crystal Shard
699,11,ZSK Progres s.c.
700,140,BlueLine Games
701,103,Spiky Caterpillar
702,51,Neutron Games
703,58,Wastelands Interactive
704,707,Milestone S.r.l.
705,287,"Spark Unlimited, comcept Inc., Team NINJA"
706,"1,565","Mighty Rabbit Studios, Gun."
707,77,Organic Humans
708,256,White Paper Games
709,"37,914",Coffee Stain Studios
710,932,GameORE
711,21,Gogii Games
712,15,BetaDwarf
713,663,Armature Studio
714,324,WizarBox Production
715,184,Obsidian Entertainment
716,249,Obsidian Entertainment
717,388,WZOGI
718,160,Cranberry Production
719,25,Witan Game Production House
720,153,SCS Software
721,394,Apeiron
722,243,Nemoria Entertainment
723,282,Idea Factory
724,"2,889",Mad Otter Games
725,167,Nikita
726,458,Best Way
727,178,1C Entertainment
728,46,Shaman Games Studio
729,80,ALTAR Interactive
730,164,MagicIndie
731,26,Frogdice
732,294,Geoff Keighley
733,662,Lion's Shade
734,13,Dovetail Games
735,70,Gogii Games
736,203,Humongous Entertainment
737,53,Cold Beam Games
738,92,Lab Zero Games
739,23,PIXOWL INC.
740,69,Matthew Brown
741,352,Phosfiend Systems
742,16,Young Horses
743,15,"Electric Eggplant, Kalani Games, Inc., HRG (Heirs of Rube Goldberg), Unity Games"
744,45,9heads Game Studios
745,25,Games Up
746,241,Alawar Entertainment
747,46,Gogii
748,33,Gogii Games
749,44,Gogii Games
750,"9,225",Ubisoft Montréal
751,15,Ubisoft Montréal
752,20,Ubisoft Montréal
753,30,Ubisoft Montréal
754,10,Ubisoft Montréal
755,49,Rage Software
756,10,Mighty Rabbit Studios
757,275,Haruneko Entertainment
758,14,"Interactive Binary Illusions, SubZero Software"
759,10,3D Realms (Apogee Software)
760,33,3D Realms (Apogee Software)
761,22,3D Realms (Apogee Software)
762,60,Remedy
763,30,3D Realms (Apogee Software)
764,42,Moonlite Software
765,24,Winter Wolves
766,95,Black Cactus
767,14,Ageod
768,144,Volition Inc.
769,"2,793",Puny Human
770,128,Gogii Games
771,68,Gogii Games
772,52,Gogii Games
773,40,Microids
774,"4,781",Osumia Games
775,460,Over the Top Games
776,180,SomaSim
777,"1,280",Treasure
778,"1,988",Spiders
779,"8,288","SkyBox Labs, Ensemble Studios"
780,49,Visual Outbreak
781,20,Himalaya Studios
782,"25,071",Fistful of Frags Team
783,152,DL Softworks
784,320,"SmiteWorks USA, LLC"
785,114,Utopian World of Sandwiches
786,41,DL Softworks
787,"6,135",Orange_Juice
788,85,Zootfly
789,20,Dark Gaia Studios
790,"12,467",Nabi Studios
791,187,"Rusty Moyher, Shaun Inman, Matt Grimm"
792,40,SCS Software
793,13,Full Control Studios
794,221,Serious Brothers
795,72,SCS Software
796,53,SCS Software
797,38,SCS Software
798,23,Defrost Games
799,"19,838",Supergiant Games
800,308,Supergiant Games
801,119,Keybol
802,230,Peter Moorhead
803,166,Sebastien Bini
804,713,The Working Parts
805,838,Code Force
806,"1,628","Sparpweed, Codeglue"
807,71,Rsupport Inc.
808,88,Freegamer
809,101,Exkee
810,31,Eko Software
811,"9,130",Gone North Games
812,15,Liquid Flower
813,44,Genee Network
814,394,Nowhere Studios
815,"2,151",Lonely Troops
816,25,Koalabs
817,953,SCS Software
818,343,"Nicalis, Inc."
819,125,Glass Knuckle Games
820,256,SCS Software
821,"1,739",Dreamworlds
822,460,Phenomenon Games
823,26,Snowbird Games
824,39,Uppercut Games Pty Ltd
825,479,Artifex Mundi
826,258,"Alawar, Mirball Games"
827,253,Owl Cave
828,245,"Michael Todd Games, Yazar Media Group LLC"
829,105,bumblebee
830,120,DL Softworks
831,197,InterAction studios
832,"3,373",Suspicious Developments
833,138,Eclipse Games
834,25,Puuba
835,165,Darkling Room
836,88,Schell Games
837,33,United Independent Entertainment GmbH
838,878,SFB Games
839,"4,324","SkyBox Labs, Big Huge Games"
840,18,Droqen
841,95,TML-Studios
842,121,Shorebound Studios
843,"1,407",Passtech Games
844,15,NeocoreGames
845,404,Hammer Labs
846,356,Juicy Beast Studio
847,447,Lesta Studio
848,19,Curious Panda Games
849,454,Spiders Studio
850,228,Lost Decade Games
851,114,MURA Interactive
852,45,North Side
853,"1,878",Goldhawk Interactive
854,259,XGen Studios
855,68,tequibo
856,92,Peter Cleary
857,"3,721","Codemasters Racing, Feral Interactive (Mac), Feral Interactive (Linux)"
858,"10,490",Rebellion
859,26,Rebellion
860,62,Rebellion
861,51,Rebellion
862,24,Rebellion
863,21,Rebellion
864,"7,660",Larian Studios
865,254,MEGAFUZZ
866,141,SCS Software
867,42,North of Earth
868,67,SCS Software
869,91,MADia Entertainment
870,83,SCS Software
871,54,Reality Twist GmbH
872,58,Morgopolis Studios
873,129,"Kritzelkratz 3000, JoWooD"
874,61,ClockStone
875,276,Elder Games
876,14,Reload Game Studio
877,585,Vivid Games S.A.
878,"8,331",Smartly Dressed Games
879,23,Gentleman Squid Studio
880,26,DarkElite
881,690,Game Dev Castle
882,29,Endless Loop Studios
883,207,Hailstorm Games
884,53,3f Interactive
885,"1,751",Daedalic Entertainment
886,116,Crunching Koalas
887,111,Just A Pixel Ltd.
888,539,BlueEagle Productions
889,36,Artem Kotov
890,21,Le Cortex
891,41,Crimson Cow
892,32,Dream Up
893,88,Team 6 Studios
894,10,"Codemasters Racing, Feral Interactive (Mac), Feral Interactive (Linux)"
895,79,Autumn Moon
896,93,SCS Software
897,"1,017",Hyper Hippo Games
898,290,Milestone S.r.l.
899,94,Paradox Development Studio
900,23,Paradox Development Studio
901,13,Lucky Frame
902,57,"Elias Viglione, Jussi Kukkonen"
903,298,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)"
904,46,"Max Gaming Technologies, LLC"
905,89,"FromSoftware, Inc"
906,24,Isotope 244 LLC
907,89,Apparition Games
908,14,RuneStorm
909,909,Retro Army Limited
910,28,Eugen Systems
911,66,Haemimont Games
912,54,Targem Games
913,13,Rampant Games
914,953,Dan Walters
915,139,Artifex Mundi
916,21,N94Games
917,39,Winter Wolves
918,28,AlphaNuts
919,216,VooFoo Studios
920,12,RailSimulator.com
921,58,"QUByte Interactive, Commotion Games Pty Ltd"
922,106,Filament Games
923,59,Narrow Monolith
924,77,Sinclair Strange
925,"15,135",Free Lives
926,12,"Codemasters Racing, Feral Interactive (Mac), Feral Interactive (Linux)"
927,40,Little Worlds Interactive
928,696,
929,209,Spry Fox LLC
930,55,SuckerFree Games
931,"3,781","The Quinnspiracy, Patrick Lindsey, Isaac Schankler"
932,22,Games Hut
933,150,Pictopotamus
934,17,Rebellion
935,57,Big Pixel Studios
936,75,Teyon
937,19,Duaik Entretenimento
938,51,Freedom Factory
939,903,GamePrix
940,80,Idigicon
941,54,VR Designs
942,150,Idigicon
943,28,Idigicon
944,133,Enitvare
945,166,Haruneko Entertainment
946,21,Wonderful Tree Studio
947,11,"RichMakeGame, Colin Northway"
948,542,Net Games Laboratory
949,524,Capybara Games
950,19,GammaLateral
951,187,SkyGoblin
952,"17,022",4A Games
953,"21,456",4A Games
954,242,Gabriel Priske
955,107,"FromSoftware, Inc"
956,376,"KOEI TECMO GAMES CO., LTD."
957,23,Force Of Habit
958,68,The Indie Forge
959,432,Double Fine Productions
960,211,4HEAD Studios
961,68,Ndemic Creations
962,"3,160",
963,60,Gugila
964,31,Wyrmbyte
965,310,Arkavi Studios
966,"1,332",VisualArts/Key
967,586,IDHAS Studios
968,621,CBE Software s.r.o.
969,19,Lionhead Studios
970,263,Rail Slave Games
971,73,Slitherine Ltd.
972,"1,155","Ian MacLarty, Jon Kerney"
973,123,URSE Games
974,126,ClockStone
975,21,Lucid Games Ltd
976,861,Shortbreak Studios s.c.
977,15,"Traveller's Tales, Feral Interactive (Mac)"
978,21,"Traveller's Tales, Feral Interactive (Mac)"
979,17,Fugazo
980,341,PGN Inc
981,24,Rebellion
982,"3,010",Harebrained Schemes
983,41,Dovetail Games
984,296,No Goblin
985,"9,227",AMPLITUDE Studios
986,"5,424",Ankama Studio
987,120,Starfish-SD Inc
988,437,
