,all_ratio,genre
3762,91%,Strategy
3768,62%,Strategy
3771,66%,Strategy
3775,85%,Strategy
3805,68%,Strategy
3808,61%,Strategy
3814,57%,Strategy
3818,55%,Strategy
3819,83%,Strategy
3822,66%,Strategy
3826,41%,Strategy
3846,100%,Strategy
3859,82%,Strategy
3861,68%,Strategy
3867,67%,Strategy
3875,73%,Strategy
3891,90%,Strategy
3895,63%,Strategy
3908,90%,Strategy
3912,49%,Strategy
3913,56%,Strategy
3920,82%,Strategy
3921,81%,Strategy
3923,93%,Strategy
3928,86%,Strategy
3932,64%,Strategy
3936,49%,Strategy
3939,70%,Strategy
3948,69%,Strategy
3951,95%,Strategy
3952,52%,Strategy
3969,27%,Strategy
3970,45%,Strategy
3980,82%,Strategy
3983,98%,Strategy
3994,46%,Strategy
3998,76%,Strategy
4013,84%,Strategy
4019,75%,Strategy
4027,91%,Strategy
4029,85%,Strategy
4036,82%,Strategy
4038,100%,Strategy
4049,61%,Strategy
4054,82%,Strategy
4057,27%,Strategy
4064,63%,Strategy
4082,61%,Strategy
4087,62%,Strategy
4088,72%,Strategy
4090,24%,Strategy
4093,57%,Strategy
4094,46%,Strategy
4095,61%,Strategy
4099,76%,Strategy
4101,63%,Strategy
4106,63%,Strategy
4112,70%,Strategy
4117,81%,Strategy
4120,80%,Strategy
4136,50%,Strategy
4139,88%,Strategy
4140,81%,Strategy
4141,92%,Strategy
4143,85%,Strategy
4152,65%,Strategy
4153,62%,Strategy
4154,93%,Strategy
4178,88%,Strategy
4184,74%,Strategy
4204,70%,Strategy
4209,59%,Strategy
4213,71%,Strategy
4218,93%,Strategy
4237,57%,Strategy
4255,70%,Strategy
4256,82%,Strategy
4261,45%,Strategy
4273,61%,Strategy
4277,64%,Strategy
4281,9%,Strategy
4290,68%,Strategy
4292,93%,Strategy
4294,59%,Strategy
4300,69%,Strategy
4324,56%,Strategy
4328,58%,Strategy
4333,70%,Strategy
4337,43%,Strategy
4346,71%,Strategy
4347,69%,Strategy
4348,60%,Strategy
4351,62%,Strategy
4372,70%,Strategy
4373,76%,Strategy
4386,45%,Strategy
4387,87%,Strategy
4388,59%,Strategy
4391,75%,Strategy
4394,65%,Strategy
4398,73%,Strategy
4405,100%,Strategy
4409,65%,Strategy
4418,62%,Strategy
4431,60%,Strategy
4434,70%,Strategy
4435,53%,Strategy
4443,54%,Strategy
4453,94%,Strategy
4462,81%,Strategy
4467,80%,Strategy
4470,71%,Strategy
4477,65%,Strategy
4491,65%,Strategy
4518,64%,Strategy
4524,95%,Strategy
4528,42%,Strategy
4529,85%,Strategy
4530,74%,Strategy
4537,46%,Strategy
4547,93%,Strategy
4568,65%,Strategy
4569,90%,Strategy
4576,73%,Strategy
4582,58%,Strategy
4588,82%,Strategy
4589,50%,Strategy
4591,50%,Strategy
4595,66%,Strategy
4599,81%,Strategy
4600,46%,Strategy
4606,79%,Strategy
4607,65%,Strategy
4610,68%,Strategy
4611,100%,Strategy
4614,73%,Strategy
