,all_ratio,genre
3327,87%,Indie
3330,77%,Indie
3335,82%,Indie
3336,81%,Indie
3337,58%,Indie
3338,85%,Indie
3343,83%,Indie
3344,100%,Indie
3345,78%,Indie
3346,53%,Indie
3347,50%,Indie
3349,81%,Indie
3350,33%,Indie
3356,82%,Indie
3359,100%,Indie
3361,85%,Indie
3365,83%,Indie
3374,89%,Indie
3376,87%,Indie
3378,27%,Indie
3379,78%,Indie
3380,97%,Indie
3381,80%,Indie
3388,93%,Indie
3397,96%,Indie
3401,70%,Indie
3403,70%,Indie
3406,92%,Indie
3408,75%,Indie
3409,79%,Indie
3410,73%,Indie
3418,99%,Indie
3419,94%,Indie
3422,84%,Indie
3424,87%,Indie
3433,44%,Indie
3435,66%,Indie
3443,74%,Indie
3445,80%,Indie
3446,93%,Indie
3449,76%,Indie
3452,60%,Indie
3453,51%,Indie
3457,70%,Indie
3462,82%,Indie
3463,31%,Indie
3466,44%,Indie
3468,65%,Indie
3470,94%,Indie
3471,100%,Indie
3473,37%,Indie
3479,73%,Indie
3485,51%,Indie
3486,90%,Indie
3490,100%,Indie
3491,90%,Indie
3497,81%,Indie
3498,100%,Indie
3499,93%,Indie
3503,62%,Indie
3509,88%,Indie
3524,35%,Indie
3526,86%,Indie
3529,59%,Indie
3535,80%,Indie
3538,76%,Indie
3542,55%,Indie
3550,61%,Indie
3559,81%,Indie
3563,80%,Indie
3564,84%,Indie
3567,62%,Indie
3568,64%,Indie
3570,78%,Indie
3575,58%,Indie
3578,70%,Indie
3582,97%,Indie
3584,85%,Indie
3585,83%,Indie
3591,90%,Indie
3592,90%,Indie
3600,96%,Indie
3601,58%,Indie
3602,88%,Indie
3605,65%,Indie
3606,75%,Indie
3608,86%,Indie
3609,72%,Indie
3612,100%,Indie
3617,77%,Indie
3619,92%,Indie
3624,76%,Indie
3625,75%,Indie
3639,65%,Indie
3640,70%,Indie
3642,81%,Indie
3643,41%,Indie
3644,75%,Indie
3646,69%,Indie
3649,86%,Indie
3650,87%,Indie
3651,95%,Indie
3652,93%,Indie
3660,60%,Indie
3661,71%,Indie
3668,86%,Indie
3670,95%,Indie
3677,90%,Indie
3678,52%,Indie
3680,95%,Indie
3682,50%,Indie
3688,93%,Indie
3689,90%,Indie
3690,93%,Indie
3691,79%,Indie
3698,82%,Indie
3700,60%,Indie
3707,55%,Indie
3709,73%,Indie
3710,70%,Indie
3715,57%,Indie
3718,75%,Indie
3724,97%,Indie
3725,75%,Indie
3726,59%,Indie
3729,100%,Indie
3750,90%,Indie
3757,88%,Indie
3769,100%,Indie
3770,97%,Indie
3772,70%,Indie
3776,68%,Indie
3779,97%,Indie
3780,91%,Indie
3782,56%,Indie
3784,55%,Indie
3798,63%,Indie
3799,97%,Indie
3802,80%,Indie
3809,100%,Indie
3811,94%,Indie
3816,50%,Indie
3817,80%,Indie
3820,76%,Indie
3821,92%,Indie
3828,85%,Indie
3831,91%,Indie
3833,89%,Indie
3834,61%,Indie
3837,59%,Indie
3838,76%,Indie
3840,72%,Indie
3842,38%,Indie
3844,64%,Indie
3845,95%,Indie
3849,81%,Indie
3857,90%,Indie
3858,100%,Indie
