,title,all_ratio,genres,specs,platform,developer,positive_review,positive_review_rank
22983,Pinball FX3,74% of the 740 user reviews for this game are positive.,['Simulation'],"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']","Windows,","Zen StudiosPublisher:Zen StudiosRelease Date: Sep 26, 2017",548.0,463
3269,The Sad Story of Emmeline Burns,92% of the 593 user reviews for this game are positive.,"['Adventure', 'Casual', 'Indie']","['Single-player', 'Steam Achievements']","Linux,Mac,Windows,","ebi-himePublisher:ebi-himeRelease Date: Jan 5, 2016",546.0,464
33516,INK,87% of the 628 user reviews for this game are positive.,"['Action', 'Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","Linux,Mac,Windows,","ZackBellGamesPublisher:ZackBellGamesRelease Date: Aug 5, 2015",546.0,464
23855,Tree of Life,"66% of the 5,056 user reviews for this game are positive.","['Indie', 'Massively Multiplayer', 'RPG']","['Multi-player', 'Online Multi-Player', 'MMO', 'Co-op', 'Online Co-op']","Windows,","oddonegamesPublisher:oddonegamesRelease Date: Aug 17, 2017",546.0,464
37186,Ys Origin,"95% of the 1,499 user reviews for this game are positive.","['Action', 'Adventure', 'RPG']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']","Windows,","Nihon FalcomPublisher:XSEED GamesFranchise:YsRelease Date: May 31, 2012",545.0,467
20273,Remothered: Tormented Fathers,79% of the 690 user reviews for this game are positive.,"['Action', 'Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Windows,","Stormind GamesPublisher:Darril ArtsRelease Date: Jan 30, 2018",545.0,467
34245,GameGuru,73% of the 746 user reviews for this software are positive.,"['Animation &amp; Modeling', 'Design &amp; Illustration', 'Education', 'Software Training', 'Utilities', 'Game Development']","['Single-player', 'Multi-player', 'Includes level editor']","Windows,","The Game CreatorsPublisher:The Game CreatorsRelease Date: May 19, 2015",545.0,467
28946,Yomawari: Night Alone / 夜廻,82% of the 665 user reviews for this game are positive.,"['Adventure', 'Strategy']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Windows,","Nippon Ichi Software, Inc.Publisher:NIS America, Inc.Release Date: Oct 25, 2016",545.0,467
8956,The House of Da Vinci,90% of the 604 user reviews for this game are positive.,"['Adventure', 'Indie', 'Strategy']","['Single-player', 'Steam Achievements']","Mac,Windows,","Blue Brain GamesPublisher:Blue Brain GamesRelease Date: Nov 24, 2017",544.0,471
3808,,83% of the 655 user reviews for this game are positive.,,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'HTC Vive', 'Oculus Rift', 'Windows Mixed Reality', 'Tracked Motion Controllers', 'Seated', 'Standing', 'Room-Scale']","Linux,Mac,Windows,",,544.0,471
1163,MXGP - The Official Motocross Videogame,77% of the 707 user reviews for this game are positive.,"['Racing', 'Simulation', 'Sports']","['Single-player', 'Multi-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']","Windows,","Milestone S.r.l.Publisher:Plug In Digital, Milestone S.r.l.Release Date: Mar 28, 2014",544.0,471
1420,Unturned - Permanent Gold Upgrade,"93% of the 8,331 user reviews for this game are positive.","['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie']","['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Includes level editor']","Linux,Mac,Windows,","Smartly Dressed GamesPublisher:Smartly Dressed GamesRelease Date: Jul 7, 2014",544.0,471
32009,Party Jousting,90% of the 603 user reviews for this game are positive.,"['Casual', 'Indie', 'Sports']","['Multi-player', 'Local Multi-Player', 'Shared/Split Screen', 'Full controller support']","Windows,","vikingfabian.comPublisher:vikingfabian.comRelease Date: Mar 1, 2016",543.0,475
28662,Driver Booster 4 for Steam,76% of the 714 user reviews for this software are positive.,['Utilities'],,"Windows,","IObitPublisher:IObitRelease Date: Nov 7, 2016",543.0,475
31898,Black Rose,82% of the 662 user reviews for this game are positive.,"['Adventure', 'Free to Play', 'Indie']","['Single-player', 'Partial Controller Support']","Windows,","Sir Bedlam ProductionsPublisher:Sir Bedlam ProductionsRelease Date: Mar 12, 2016",543.0,475
32987,Chaos Reborn,75% of the 724 user reviews for this game are positive.,"['Indie', 'RPG', 'Strategy']","['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']","Linux,Mac,Windows,","Snapshot Games Inc.Publisher:Snapshot Games Inc.Release Date: Oct 26, 2015",543.0,475
28631,Once in Yaissor,86% of the 631 user reviews for this game are positive.,"['Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards']","Windows,","Valera EntertainmentPublisher:Valera EntertainmentRelease Date: Nov 9, 2016",543.0,475
20379,Rise of Liberty,86% of the 631 user reviews for this game are positive.,"['Indie', 'Strategy', 'Early Access']",['Single-player'],"Mac,Windows,","Sandstorm Studios Inc.Publisher:Sandstorm Studios Inc.Release Date: Jan 24, 2018",543.0,475
1202,FootLOL: Epic Fail League,82% of the 662 user reviews for this game are positive.,"['Action', 'Indie', 'RPG', 'Sports']","['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards']","Windows,","Lion's ShadePublisher:HeroCraftRelease Date: Aug 7, 2013",543.0,475
23325,Brawl of Ages,70% of the 774 user reviews for this game are positive.,"['Action', 'Free to Play', 'Strategy']","['Multi-player', 'Online Multi-Player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases']","Linux,Mac,Windows,","BNA Studios, LLCPublisher:S2 Games, LLCRelease Date: Sep 12, 2017",542.0,482
19962,Rise of Industry,81% of the 669 user reviews for this game are positive.,"['Indie', 'Simulation', 'Strategy', 'Early Access']","['Single-player', 'Steam Cloud']","Linux,Windows,","Dapper Penguin StudiosPublisher:Kasedo GamesRelease Date: Feb 9, 2018",542.0,482
36756,Anna - Extended Edition,67% of the 809 user reviews for this game are positive.,"['Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","Linux,Mac,Windows,","DreampaintersPublisher:Kalypso Media DigitalRelease Date: Apr 12, 2013",542.0,482
33793,The Red Solstice,76% of the 713 user reviews for this game are positive.,"['Action', 'Indie', 'RPG', 'Strategy']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Stats', 'Steam Leaderboards']","Windows,","IronwardPublisher:Nkidu Games Inc.Release Date: Jul 9, 2015",542.0,482
5002,True Love ～Confide to the Maple～,81% of the 668 user reviews for this game are positive.,"['Adventure', 'Casual', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']","Windows,","SP-timePublisher:SP-timeRelease Date: Oct 5, 2016",541.0,486
2534,Marble Mayhem: Fragile Ball,65% of the 832 user reviews for this game are positive.,"['Action', 'Adventure', 'Casual', 'Indie', 'Racing', 'RPG', 'Simulation', 'Sports', 'Strategy']","['Single-player', 'Steam Trading Cards']","Windows,","Bimboosoft Co.,Ltd.Publisher:Epic Quest GamesRelease Date: Jul 7, 2015",541.0,486
5086,The Jackbox Party Pack 3,93% of the 581 user reviews for this game are positive.,"['Casual', 'Indie', 'Strategy']","['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']","Mac,Windows,","Jackbox Games, Inc.Publisher:Jackbox Games, Inc.Release Date: Oct 17, 2016",540.0,488
37555,Bloody Good Time,76% of the 709 user reviews for this game are positive.,['Action'],"['Single-player', 'Multi-player', 'Steam Achievements']","Windows,","Outerlight Ltd.Publisher:UbisoftRelease Date: Oct 29, 2010",539.0,489
20916,NEKOPARA OVA,92% of the 586 user reviews for this video are positive.,,"['Steam Trading Cards', 'Captions available']","SteamOS,Linux,Mac,Windows,",,539.0,489
4487,Slavistan,91% of the 592 user reviews for this game are positive.,"['Action', 'Indie', 'Simulation']","['Single-player', 'Steam Trading Cards', 'Stats']","Windows,","Free Candy GamesPublisher:Free Candy GamesRelease Date: Jul 29, 2016",539.0,489
28620,Silence,85% of the 634 user reviews for this game are positive.,"['Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Linux,Mac,Windows,","Daedalic EntertainmentPublisher:Daedalic EntertainmentRelease Date: Nov 15, 2016",539.0,489
5053,GoNNER,88% of the 612 user reviews for this game are positive.,['Indie'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Leaderboards']","SteamOS,Linux,Mac,Windows,","Art in HeartPublisher:Raw FuryRelease Date: Oct 12, 2016",539.0,489
8517,Tank Force,62% of the 869 user reviews for this game are positive.,"['Action', 'Free to Play', 'Simulation']","['Multi-player', 'Online Multi-Player', 'MMO', 'Cross-Platform Multiplayer', 'Steam Trading Cards']","Windows,","Extreme DevelopersPublisher:Extreme DevelopersRelease Date: Oct 23, 2017",539.0,489
4670,You Have 10 Seconds 2,89% of the 604 user reviews for this game are positive.,"['Casual', 'Free to Play', 'Indie']","['Single-player', 'Partial Controller Support', 'Includes level editor']","Windows,","TamationgamesPublisher:TamationgamesRelease Date: Aug 24, 2016",538.0,495
21198,Farmer's Dynasty,77% of the 699 user reviews for this game are positive.,"['RPG', 'Simulation', 'Early Access']","['Single-player', 'Steam Achievements', 'Full controller support']","Windows,","UMEO StudiosPublisher:Toplitz ProductionsRelease Date: Dec 14, 2017",538.0,495
466,Galactic Civilizations® II: Ultimate Edition,76% of the 708 user reviews for this game are positive.,"['Indie', 'Strategy']",['Single-player'],"Windows,","Stardock EntertainmentPublisher:Stardock EntertainmentFranchise:Galactic CivilizationsRelease Date: Dec 2, 2011",538.0,495
29202,,94% of the 571 user reviews for this game are positive.,,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Online Co-op', 'Steam Workshop', 'Includes level editor', 'HTC Vive', 'Oculus Rift', 'Windows Mixed Reality', 'Tracked Motion Controllers', 'Standing', 'Room-Scale']","Windows,",,537.0,498
378,Syberia II,84% of the 639 user reviews for this game are positive.,['Adventure'],"['Single-player', 'Steam Trading Cards']","Mac,Windows,","MicroidsPublisher:MicroidsRelease Date: Mar 30, 2004",537.0,498
6233,Deceit,"74% of the 20,534 user reviews for this game are positive.","['Action', 'Free to Play', 'Indie']","['Multi-player', 'Online Multi-Player', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']","Windows,","AutomatonPublisher:AutomatonRelease Date: Mar 3, 2017",536.0,500
24906,Live2DViewerEX,88% of the 608 user reviews for this software are positive.,"['Animation &amp; Modeling', 'Utilities', 'Early Access']",['Steam Workshop'],"Mac,Windows,","Pavo StudioPublisher:Pavo StudioRelease Date: Jun 30, 2017",535.0,501
19291,CHUCHEL,86% of the 622 user reviews for this game are positive.,"['Adventure', 'Casual', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","Mac,Windows,","Amanita DesignPublisher:Amanita DesignRelease Date: Mar 7, 2018",535.0,501
36786,Cities in Motion 2,58% of the 922 user reviews for this game are positive.,"['Simulation', 'Strategy']","['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop']","Linux,Mac,Windows,","Colossal Order Ltd.Publisher:Paradox InteractiveRelease Date: Apr 2, 2013",535.0,501
10917,Albion Online,68% of the 787 user reviews for this game are positive.,"['Massively Multiplayer', 'RPG']","['Online Multi-Player', 'MMO', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases']","SteamOS,Linux,Mac,Windows,","Sandbox Interactive GmbHPublisher:Sandbox Interactive GmbHRelease Date: Jul 17, 2017",535.0,501
27059,Dropzone,69% of the 775 user reviews for this game are positive.,"['Action', 'Free to Play', 'Strategy', 'Early Access']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']","Windows,","Sparkypants Studios LLCPublisher:Sparkypants Studios LLCRelease Date: Feb 15, 2017",535.0,501
2428,Duck Game,"96% of the 9,827 user reviews for this game are positive.","['Action', 'Indie']","['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Includes level editor']","Windows,","Landon PodbielskiPublisher:Adult Swim GamesRelease Date: Jun 4, 2015",534.0,506
31035,Cities: Skylines - Match Day,94% of the 568 user reviews for this game are positive.,"['Simulation', 'Strategy']","['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor']","Linux,Mac,Windows,","Colossal Order Ltd.Publisher:Paradox InteractiveRelease Date: Jun 9, 2016",534.0,506
21892,LEGO® Marvel Super Heroes 2,75% of the 710 user reviews for this game are positive.,['Action'],"['Single-player', 'Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support']","Mac,Windows,","TT Games, Feral Interactive (Mac)Publisher:Warner Bros. Interactive, Feral Interactive (Mac)Release Date: Nov 14, 2017",532.0,508
30175,Picross Touch,91% of the 585 user reviews for this game are positive.,"['Casual', 'Free to Play', 'Indie', 'Strategy']","['Single-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards', 'Includes level editor']","Linux,Mac,Windows,","Jon GallantPublisher:jgallantRelease Date: Aug 24, 2016",532.0,508
7252,1982,94% of the 565 user reviews for this game are positive.,"['Action', 'Casual', 'Free to Play', 'Indie']",['Single-player'],"Windows,","Binary Zoo, The Game CreatorsPublisher:The Game CreatorsRelease Date: Jun 28, 2017",531.0,510
36343,KAMI,95% of the 559 user reviews for this game are positive.,"['Casual', 'Indie']",['Single-player'],"Mac,Windows,","State of Play GamesPublisher:State of Play GamesRelease Date: Jan 23, 2014",531.0,510
24589,Kingsway,90% of the 590 user reviews for this game are positive.,"['Adventure', 'RPG', 'Simulation']","['Single-player', 'Steam Achievements']","Windows,","Andrew MorrishPublisher:Adult Swim GamesRelease Date: Jul 18, 2017",531.0,510
37507,Monday Night Combat,80% of the 662 user reviews for this game are positive.,"['Action', 'Strategy', 'Indie', 'Sports']","['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Partial Controller Support', 'Valve Anti-Cheat enabled', 'Stats', 'Steam Leaderboards']","Windows,","Uber EntertainmentPublisher:Uber EntertainmentRelease Date: Jan 24, 2011",530.0,513
22328,SIMULACRA,96% of the 552 user reviews for this game are positive.,"['Adventure', 'Indie', 'Simulation']","['Single-player', 'Steam Achievements', 'Steam Cloud']","Mac,Windows,","Kaigan Games OÜPublisher:Kaigan Games OÜRelease Date: Oct 26, 2017",530.0,513
21233,ARK: Aberration - Expansion Pack,"73% of the 2,029 user reviews for this game are positive.","['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']","['Single-player', 'Multi-player', 'MMO', 'Co-op', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Includes level editor']","Linux,Mac,Windows,","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC, Abstraction GamesRelease Date: Dec 12, 2017",530.0,513
34905,Terra Incognita ~ Chapter One: The Descendant,71% of the 746 user reviews for this game are positive.,"['Adventure', 'Indie', 'RPG', 'Early Access']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']","Windows,","Back To Basics GamingPublisher:Back To Basics GamingRelease Date: Feb 3, 2015",530.0,513
25162,Superdimension Neptune VS Sega Hard Girls | 超次元大戦ネプテューヌVSセガハードガールズ夢の合体スペシャル  | 超次元大戰戰機少女VS SEGA主機娘夢幻合體特別版,94% of the 563 user reviews for this game are positive.,"['Action', 'RPG']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Windows,","IDEA FACTORY, COMPILE HEART, FELISTELLAPublisher:Idea Factory InternationalRelease Date: Jun 12, 2017",529.0,517
1580,J.U.L.I.A.: Among the Stars,85% of the 621 user reviews for this game are positive.,"['Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Captions available']","Linux,Mac,Windows,","CBE Software s.r.o.Publisher:CBE Software s.r.o.Release Date: Sep 12, 2014",528.0,518
7136,Kreedz Climbing,77% of the 686 user reviews for this game are positive.,"['Free to Play', 'Indie', 'Racing', 'Sports']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Co-op', 'Online Co-op', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Includes Source SDK']","Windows,","ObsessionSoftPublisher:ObsessionSoftRelease Date: Jun 15, 2017",528.0,518
37185,Magical Diary: Horse Hall,92% of the 574 user reviews for this game are positive.,"['Adventure', 'Indie', 'RPG']","['Single-player', 'Steam Achievements', 'Steam Trading Cards']","Linux,Mac,Windows,","Hanako GamesPublisher:Hanako GamesRelease Date: May 31, 2012",528.0,518
4655,Automobilista,82% of the 643 user reviews for this game are positive.,"['Racing', 'Simulation', 'Sports']","['Single-player', 'Multi-player', 'Steam Achievements', 'Partial Controller Support']","Windows,","Reiza StudiosPublisher:ReizaRelease Date: Feb 29, 2016",527.0,521
19220,Bio Inc. Redemption,87% of the 605 user reviews for this game are positive.,"['Indie', 'Simulation', 'Strategy']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards']","Windows,","DryGin StudiosPublisher:DryGin StudiosRelease Date: Mar 8, 2018",526.0,522
19769,A Light in the Dark,95% of the 554 user reviews for this game are positive.,"['Casual', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards']","Mac,Windows,","CreSpirit, Storia, NarratorPublisher:Sekai ProjectRelease Date: Jun 15, 2018",526.0,522
4302,Boid,80% of the 658 user reviews for this game are positive.,"['Action', 'Casual', 'Free to Play', 'Indie', 'Strategy']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Stats', 'Includes level editor']","Windows,","MokusPublisher:tinyBuildRelease Date: Jul 8, 2016",526.0,522
169,Indiana Jones® and the Fate of Atlantis™,95% of the 553 user reviews for this game are positive.,['Adventure'],"['Single-player', 'Local Co-op', 'Steam Cloud']","Mac,Windows,","LucasArtsPublisher:LucasArts, Lucasfilm, Disney InteractiveRelease Date: Jun 1, 1992",525.0,525
38220,Red Faction Guerrilla Steam Edition,"90% of the 5,648 user reviews for this game are positive.",['Action'],"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","Windows,","Volition, Reactor Zero, THQ NordicPublisher:THQ NordicFranchise:Red FactionRelease Date: Sep 15, 2009",525.0,525
37310,Titan Attacks!,92% of the 571 user reviews for this game are positive.,"['Action', 'Casual', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']","Linux,Mac,Windows,","PuppygamesPublisher:PuppygamesRelease Date: Feb 3, 2012",525.0,525
38219,Tropico 3,90% of the 583 user reviews for this game are positive.,"['Simulation', 'Strategy']",['Single-player'],"Windows,","Haemimont GamesPublisher:Kalypso Media DigitalFranchise:TropicoRelease Date: Oct 20, 2009",525.0,525
9170,Bit Heroes,73% of the 719 user reviews for this game are positive.,"['Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']","['Single-player', 'MMO', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']","Windows,","JuppiomenzPublisher:KongregateRelease Date: Dec 13, 2017",525.0,525
26425,Crisis in the Kremlin,82% of the 639 user reviews for this game are positive.,"['Indie', 'Simulation', 'Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards']","SteamOS,Linux,Mac,Windows,","KremlingamesPublisher:KremlingamesRelease Date: Mar 20, 2017",524.0,530
36725,Dungeons &amp; Dragons: Chronicles of Mystara,80% of the 654 user reviews for this game are positive.,"['Action', 'Adventure', 'RPG']","['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards']","Windows,","Iron Galaxy StudiosPublisher:CapcomRelease Date: Jun 18, 2013",523.0,531
9493,Full Metal Furies,89% of the 588 user reviews for this game are positive.,"['Action', 'Adventure', 'Indie', 'RPG']","['Single-player', 'Co-op', 'Online Co-op', 'Local Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Linux,Mac,Windows,","Cellar Door GamesPublisher:Cellar Door GamesRelease Date: Jan 17, 2018",523.0,531
19046,The Council,86% of the 605 user reviews for this game are positive.,"['Adventure', 'RPG']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Windows,","Big Bad WolfPublisher:Focus Home InteractiveRelease Date: Mar 13, 2018",520.0,533
27491,Panty Party,91% of the 571 user reviews for this game are positive.,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']","Windows,","Animu GamePublisher:Animu GameRelease Date: Jan 24, 2017",520.0,533
11223,Flashing Lights - Police Fire EMS,65% of the 800 user reviews for this game are positive.,"['Indie', 'Simulation', 'Early Access']","['Single-player', 'Online Multi-Player', 'Online Co-op']","Mac,Windows,","Nils JakrinsPublisher:Excalibur GamesRelease Date: Jun 7, 2018",520.0,533
19099,Swarmlake,96% of the 542 user reviews for this game are positive.,"['Action', 'Casual', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Leaderboards']","Windows,","Dominique GrieshoferPublisher:Dominique GrieshoferRelease Date: Sep 6, 2018",520.0,533
33187,80 Days,92% of the 564 user reviews for this game are positive.,"['Adventure', 'Indie', 'Strategy']","['Single-player', 'Steam Achievements', 'Steam Cloud']","Mac,Windows,","inkle Ltd, Cape Guy LtdPublisher:inkle LtdRelease Date: Sep 28, 2015",519.0,537
10304,KOEWOTAYORINI / 声之寄托,89% of the 583 user reviews for this game are positive.,"['Adventure', 'Free to Play', 'Indie', 'RPG']","['Single-player', 'Steam Achievements', 'Steam Cloud']","Windows,","あみそ組Publisher:Pujia8 Studio, Gamera GameRelease Date: Mar 26, 2018",519.0,537
23991,Dead by Daylight - Charity Case,94% of the 552 user reviews for this game are positive.,['Action'],"['Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']","Windows,","Behaviour Digital Inc.Publisher:Behaviour Digital Inc.Release Date: Aug 10, 2017",519.0,537
7644,Crashday Redline Edition,89% of the 582 user reviews for this game are positive.,"['Action', 'Racing']","['Single-player', 'Online Multi-Player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Includes level editor']","Windows,","MoonbytePublisher:2tainment GmbHRelease Date: Aug 10, 2017",518.0,540
23063,Tricolour Lovestory,"91% of the 10,725 user reviews for this game are positive.","['Adventure', 'Casual', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","Windows,","HL-GalgamePublisher:SakuraGameRelease Date: Sep 20, 2017",518.0,540
33126,Soccer Manager 2016,70% of the 739 user reviews for this game are positive.,"['Free to Play', 'Indie', 'Sports', 'Strategy']",['Single-player'],"Mac,Windows,","Soccer Manager LtdPublisher:Soccer Manager LtdRelease Date: Oct 7, 2015",517.0,542
1436,Super Panda Adventures,96% of the 539 user reviews for this game are positive.,"['Action', 'Adventure', 'Indie']","['Single-player', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']","Windows,","BlueEagle ProductionsPublisher:Paul SchneiderRelease Date: Jul 14, 2014",517.0,542
7909,Fight of Gods,84% of the 614 user reviews for this game are positive.,"['Action', 'Indie', 'Early Access']","['Single-player', 'Local Multi-Player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']","Windows,","Digital CrafterPublisher:PQube LimitedRelease Date: Sep 4, 2017",516.0,544
1720,Guns n Zombies,68% of the 758 user reviews for this game are positive.,"['Action', 'Adventure', 'Indie', 'RPG']","['Single-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","Mac,Windows,","KrealitPublisher:KrealitRelease Date: Oct 30, 2014",515.0,545
8088,ATOMEGA,77% of the 669 user reviews for this game are positive.,"['Action', 'Indie']","['Online Multi-Player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Windows,","Reflections, a Ubisoft StudioPublisher:UbisoftRelease Date: Sep 19, 2017",515.0,545
187,Crash Time 2,56% of the 917 user reviews for this game are positive.,"['Action', 'Racing']",['Single-player'],"Windows,",,514.0,547
36601,PAC-MAN™ Championship Edition DX+,"96% of the 3,146 user reviews for this game are positive.",['Action'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards']","Windows,","Mine Loader Software Co., Ltd.Publisher:BANDAI NAMCO EntertainmentRelease Date: Sep 24, 2013",514.0,547
18285,Maelstrom,85% of the 601 user reviews for this game are positive.,"['Action', 'Indie', 'Massively Multiplayer', 'Simulation', 'Strategy', 'Early Access']","['Multi-player', 'Online Multi-Player', 'Partial Controller Support', 'Steam Cloud']","Windows,","Gunpowder Games, LLCPublisher:Gunpowder Games, LLCRelease Date: Apr 11, 2018",511.0,549
33259,Three Heroes,69% of the 741 user reviews for this game are positive.,"['Action', 'Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']","Windows,","Cats Who PlayPublisher:Cats Who PlayRelease Date: Sep 16, 2015",511.0,549
12602,Niffelheim,79% of the 646 user reviews for this game are positive.,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Linux,Mac,Windows,","Ellada GamesPublisher:Ellada GamesRelease Date: Sep 26, 2018",510.0,551
32341,Subterrain,83% of the 614 user reviews for this game are positive.,['Indie'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","Windows,","PixellorePublisher:PixelloreRelease Date: Jan 21, 2016",510.0,551
25338,The Long Journey Home,65% of the 785 user reviews for this game are positive.,"['Indie', 'RPG', 'Simulation', 'Strategy']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Mac,Windows,","Daedalic Studio WestPublisher:Daedalic EntertainmentRelease Date: May 30, 2017",510.0,551
38926,Geometry Wars: Retro Evolved,90% of the 566 user reviews for this game are positive.,['Casual'],"['Single-player', 'Full controller support']","Windows,","Bizarre CreationsPublisher:ActivisionRelease Date: Mar 7, 2007",509.0,554
