,title,all_ratio,genres,specs,platform,developer,positive_review,positive_review_rank
866,"Papers, Please","95% of the 21,737 user reviews for this game are positive.","['Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']","Linux,Mac,Windows,","Lucas PopePublisher:3909Release Date: Aug 8, 2013",788.0,99
24313,Home Sweet Home,85% of the 926 user reviews for this game are positive.,"['Adventure', 'Indie']","['Single-player', 'Full controller support']","Windows,","YGGDRAZIL GROUP CO.,LTDPublisher:YGGDRAZIL GROUP CO.,LTDRelease Date: Sep 27, 2017",787.0,100
35574,Detective Grimoire,94% of the 837 user reviews for this game are positive.,"['Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards']","Linux,Mac,Windows,","SFB GamesPublisher:SFB GamesRelease Date: Aug 18, 2014",787.0,100
23854,Subsurface Circular,95% of the 827 user reviews for this game are positive.,"['Adventure', 'Casual', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Commentary available']","Mac,Windows,","Bithell GamesPublisher:Bithell GamesRelease Date: Aug 17, 2017",786.0,102
33468,Skyrim Script Extender (SKSE),98% of the 801 user reviews for this game are positive.,['RPG'],"['Single-player', 'Partial Controller Support']","Windows,","The SKSE TeamPublisher:The SKSE TeamRelease Date: Aug 12, 2015",785.0,103
39100,Half-Life: Blue Shift,"89% of the 3,050 user reviews for this game are positive.",['Action'],['Single-player'],"Linux,Mac,Windows,","Gearbox SoftwarePublisher:ValveFranchise:Half-LifeRelease Date: Jun 1, 2001",784.0,104
36773,Surgeon Simulator,"82% of the 10,878 user reviews for this game are positive.","['Action', 'Indie', 'Simulation']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","Linux,Mac,Windows,","Bossa StudiosPublisher:Bossa StudiosRelease Date: Apr 19, 2013",782.0,105
37265,Ys: The Oath in Felghana,94% of the 830 user reviews for this game are positive.,"['Action', 'Adventure', 'RPG']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']","Windows,","Nihon FalcomPublisher:XSEED GamesFranchise:YsRelease Date: Mar 19, 2012",780.0,106
13256,Mashinky,85% of the 916 user reviews for this game are positive.,"['Indie', 'Simulation', 'Strategy', 'Early Access']","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Stats', 'Includes level editor']","Windows,","Jan ZelenýPublisher:Jan ZelenýRelease Date: Oct 6, 2018",779.0,107
1316,ibb &amp; obb,"93% of the 1,628 user reviews for this game are positive.","['Action', 'Adventure', 'Indie']","['Multi-player', 'Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","Linux,Mac,Windows,","Sparpweed, CodegluePublisher:SparpweedRelease Date: May 26, 2014",779.0,107
