,app_name,title,id,url,all_ratio,genres,specs,platform,developer,Developer,Publisher,Release_Date,Positive_Review,Positive_Review_Rank,Top_Played_Rank
20846,SCP: Secret Laboratory,SCP: Secret Laboratory,700330.0,https://store.steampowered.com/app/700330/SCP_Secret_Laboratory/,"81% of the 14,645 user reviews for this game are positive.","['Action', 'Free to Play']","['Online Multi-Player', 'Steam Achievements', 'Steam Cloud']","Windows,","Northwood StudiosPublisher:Northwood StudiosRelease Date: Dec 29, 2017",Northwood Studios,Northwood Studios,Dec 29 2017,11862.0,141,
33545,Sakura Clicker,Sakura Clicker,383080.0,https://store.steampowered.com/app/383080/Sakura_Clicker/,"84% of the 14,046 user reviews for this game are positive.","['Casual', 'Free to Play', 'Indie']","['Single-player', 'Steam Trading Cards', 'Steam Cloud']","Windows,","Winged CloudPublisher:Winged CloudRelease Date: Jul 29, 2015",Winged Cloud,Winged Cloud,Jul 29 2015,11799.0,142,
32640,DiRT Rally,,310560.0,https://store.steampowered.com/app/310560/DiRT_Rally/,"88% of the 13,353 user reviews for this game are positive.",,"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Steam Leaderboards', 'Oculus Rift', 'Gamepad', 'Keyboard / Mouse', 'Seated']","SteamOS,Linux,Mac,Windows,",,,,,11751.0,143,
3888,Ori and the Blind Forest: Definitive Edition,Ori and the Blind Forest: Definitive Edition,387290.0,https://store.steampowered.com/app/387290/Ori_and_the_Blind_Forest_Definitive_Edition/,"95% of the 12,366 user reviews for this game are positive.",['Action'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Stats']","Windows,","Moon Studios GmbHPublisher:Microsoft StudiosRelease Date: Apr 27, 2016",Moon Studios GmbH,Microsoft Studios,Apr 27 2016,11748.0,144,
2234,Crypt of the NecroDancer,Crypt of the NecroDancer,247080.0,https://store.steampowered.com/app/247080/Crypt_of_the_NecroDancer/,"96% of the 12,227 user reviews for this game are positive.","['Action', 'Indie', 'RPG']","['Single-player', 'Local Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards', 'Includes level editor']","Linux,Mac,Windows,","Brace Yourself GamesPublisher:Brace Yourself Games, Klei EntertainmentRelease Date: Apr 23, 2015",Brace Yourself Games,Brace Yourself Games Klei Entertainment,Apr 23 2015,11738.0,145,
982,Project Zomboid,Project Zomboid,108600.0,https://store.steampowered.com/app/108600/Project_Zomboid/,"86% of the 13,558 user reviews for this game are positive.","['Indie', 'RPG', 'Simulation', 'Early Access']","['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Partial Controller Support']","Linux,Mac,Windows,","The Indie StonePublisher:The Indie StoneRelease Date: Nov 8, 2013",The Indie Stone,The Indie Stone,Nov 8 2013,11660.0,146,
37511,Magicka,Magicka,42910.0,https://store.steampowered.com/app/42910/Magicka/,"92% of the 12,499 user reviews for this game are positive.","['Action', 'RPG']","['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Leaderboards']","Windows,","Arrowhead Game StudiosPublisher:Paradox InteractiveRelease Date: Jan 25, 2011",Arrowhead Game Studios,Paradox Interactive,Jan 25 2011,11499.0,147,
30456,ABZU,ABZU,384190.0,https://store.steampowered.com/app/384190/ABZU/,"92% of the 12,381 user reviews for this game are positive.","['Action', 'Adventure', 'Casual', 'Indie', 'Simulation']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']","Windows,","Giant SquidPublisher:505 GamesRelease Date: Aug 2, 2016",Giant Squid,505 Games,Aug 2 2016,11391.0,148,
121,Left 4 Dead,Left 4 Dead,500.0,https://store.steampowered.com/app/500/Left_4_Dead/,"94% of the 12,072 user reviews for this game are positive.",['Action'],"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Captions available', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Steam Leaderboards', 'Includes Source SDK', 'Commentary available']","Mac,Windows,","ValvePublisher:ValveRelease Date: Nov 17, 2008",Valve,Valve,Nov 17 2008,11348.0,149,
27038,theHunter: Call of the Wild™,theHunter: Call of the Wild™,518790.0,https://store.steampowered.com/app/518790/theHunter_Call_of_the_Wild/,"78% of the 14,533 user reviews for this game are positive.","['Adventure', 'Simulation', 'Sports']","['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Cloud']","Windows,","Expansive WorldsPublisher:Avalanche StudiosRelease Date: Feb 16, 2017",Expansive Worlds,Avalanche Studios,Feb 16 2017,11336.0,150,
35075,Assetto Corsa,,244210.0,https://store.steampowered.com/app/244210/Assetto_Corsa/,"85% of the 13,298 user reviews for this game are positive.",,"['Single-player', 'Online Multi-Player', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards', 'Includes level editor', 'HTC Vive', 'Oculus Rift', 'Gamepad', 'Keyboard / Mouse', 'Seated']","Windows,",,,,,11303.0,151,
38455,Plants vs. Zombies GOTY Edition,Plants vs. Zombies GOTY Edition,3590.0,https://store.steampowered.com/app/3590/Plants_vs_Zombies_GOTY_Edition/,"97% of the 11,642 user reviews for this game are positive.",['Strategy'],"['Single-player', 'Steam Achievements']","Mac,Windows,","PopCap Games, Inc.Publisher:PopCap Games, Inc.Release Date: May 5, 2009",PopCap Games Inc,PopCap Games Inc,May 5 2009,11293.0,152,
850,Rogue Legacy,Rogue Legacy,241600.0,https://store.steampowered.com/app/241600/Rogue_Legacy/,"93% of the 12,070 user reviews for this game are positive.","['Action', 'Adventure', 'Indie', 'RPG']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Linux,Mac,Windows,","Cellar Door GamesPublisher:Cellar Door GamesRelease Date: Jun 27, 2013",Cellar Door Games,Cellar Door Games,Jun 27 2013,11225.0,153,
12194,SCUM,SCUM,513710.0,https://store.steampowered.com/app/513710/SCUM/,"64% of the 17,225 user reviews for this game are positive.","['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'Early Access']","['Single-player', 'Online Multi-Player', 'Online Co-op']","Windows,","Gamepires, CroteamPublisher:Devolver DigitalRelease Date: Aug 29, 2018",Gamepires Croteam,Devolver Digital,Aug 29 2018,11024.0,156,
22216,Codename CURE,Codename CURE,355180.0,https://store.steampowered.com/app/355180/Codename_CURE/,"82% of the 13,440 user reviews for this game are positive.","['Action', 'Free to Play']","['Single-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Workshop', 'Partial Controller Support', 'Includes level editor']","Linux,Mac,Windows,","Hoobalugalar_XPublisher:Hoobalugalar_XRelease Date: Oct 31, 2017",Hoobalugalar X,Hoobalugalar X,Oct 31 2017,11021.0,157,
32651,Hurtworld,Hurtworld,393420.0,https://store.steampowered.com/app/393420/Hurtworld/,"75% of the 14,655 user reviews for this game are positive.","['Action', 'Adventure', 'Simulation', 'Early Access']","['Multi-player', 'Co-op', 'Cross-Platform Multiplayer']","Mac,Windows,","Bankroll StudiosPublisher:Bankroll StudiosRelease Date: Dec 3, 2015",Bankroll Studios,Bankroll Studios,Dec 3 2015,10991.0,158,
34929,Transformice,Transformice,335240.0,https://store.steampowered.com/app/335240/Transformice/,"83% of the 13,187 user reviews for this game are positive.","['Free to Play', 'Indie', 'Massively Multiplayer']","['Multi-player', 'MMO', 'Steam Achievements', 'Steam Trading Cards', 'Includes level editor']","Mac,Windows,","Atelier 801Publisher:Atelier 801Release Date: Jan 30, 2015",Atelier 801,Atelier 801,Jan 30 2015,10945.0,159,
34343,Black Mesa,Black Mesa,362890.0,https://store.steampowered.com/app/362890/Black_Mesa/,"93% of the 11,698 user reviews for this game are positive.","['Action', 'Adventure', 'Indie', 'Early Access']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor', 'Includes Source SDK']","Linux,Windows,","Crowbar CollectivePublisher:Crowbar CollectiveRelease Date: May 5, 2015",Crowbar Collective,Crowbar Collective,May 5 2015,10879.0,160,
1294,Toribash,Toribash,248570.0,https://store.steampowered.com/app/248570/Toribash/,"87% of the 12,467 user reviews for this game are positive.","['Action', 'Free to Play', 'Indie', 'Strategy']","['Single-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Includes level editor']","Linux,Mac,Windows,","Nabi StudiosPublisher:Nicalis, Inc.Release Date: Mar 1, 2006",Nabi Studios,Nicalis Inc,Mar 1 2006,10846.0,161,
38223,Batman: Arkham Asylum Game of the Year Edition,Batman: Arkham Asylum Game of the Year Edition,35140.0,https://store.steampowered.com/app/35140/Batman_Arkham_Asylum_Game_of_the_Year_Edition/,"95% of the 11,391 user reviews for this game are positive.","['Action', 'Adventure']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']","Mac,Windows,","Rocksteady Studios, Feral Interactive (Mac)Publisher:Warner Bros. Interactive Entertainment, Feral Interactive (Mac)Release Date: Mar 26, 2010",Rocksteady Studios Feral Interactive Mac,Warner Bros Interactive Entertainment Feral Interactive Mac,Mar 26 2010,10821.0,162,
2286,TERA,TERA,323370.0,https://store.steampowered.com/app/323370/TERA/,"79% of the 13,688 user reviews for this game are positive.","['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']","['Multi-player', 'MMO', 'Co-op', 'Steam Trading Cards', 'Partial Controller Support']","Windows,","Bluehole, Inc.Publisher:En Masse EntertainmentRelease Date: May 5, 2015",Bluehole Inc,En Masse Entertainment,May 5 2015,10814.0,163,
26342,Day of Infamy,Day of Infamy,447820.0,https://store.steampowered.com/app/447820/Day_of_Infamy/,"84% of the 12,839 user reviews for this game are positive.","['Action', 'Indie', 'Strategy']","['Online Multi-Player', 'Online Co-op', 'Steam Achievements', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Includes level editor', 'Includes Source SDK']","Linux,Mac,Windows,","New World InteractivePublisher:New World InteractiveRelease Date: Mar 23, 2017",New World Interactive,New World Interactive,Mar 23 2017,10785.0,164,
36738,Dust: An Elysian Tail,Dust: An Elysian Tail,236090.0,https://store.steampowered.com/app/236090/Dust_An_Elysian_Tail/,"96% of the 11,081 user reviews for this game are positive.","['Action', 'Adventure', 'Indie', 'RPG']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Linux,Mac,Windows,","Humble Hearts LLCPublisher:Microsoft StudiosRelease Date: May 24, 2013",Humble Hearts LLC,Microsoft Studios,May 24 2013,10638.0,165,
21230,Gang Beasts,Gang Beasts,285900.0,https://store.steampowered.com/app/285900/Gang_Beasts/,"69% of the 15,360 user reviews for this game are positive.","['Action', 'Adventure', 'Casual', 'Indie']","['Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support']","Linux,Mac,Windows,","BoneloafPublisher:Double Fine PresentsRelease Date: Dec 12, 2017",Boneloaf,Double Fine Presents,Dec 12 2017,10598.0,166,
34364,Block N Load,Block N Load,299360.0,https://store.steampowered.com/app/299360/Block_N_Load/,"77% of the 13,738 user reviews for this game are positive.","['Action', 'Free to Play', 'Massively Multiplayer', 'Strategy']","['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor']","Windows,","Jagex, ArtplantPublisher:JagexRelease Date: Apr 30, 2015",Jagex Artplant,Jagex,Apr 30 2015,10578.0,167,
36363,Hero Siege,Hero Siege,269210.0,https://store.steampowered.com/app/269210/Hero_Siege/,"79% of the 13,338 user reviews for this game are positive.","['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Co-op', 'Online Co-op', 'Local Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Linux,Mac,Windows,","Elias Viglione, Jussi KukkonenPublisher:Panic Art StudiosRelease Date: Jan 29, 2014",Elias Viglione Jussi Kukkonen,Panic Art Studios,Jan 29 2014,10537.0,168,
3396,Golf With Your Friends,Golf With Your Friends,431240.0,https://store.steampowered.com/app/431240/Golf_With_Your_Friends/,"89% of the 11,728 user reviews for this game are positive.","['Casual', 'Indie', 'Sports', 'Early Access']","['Single-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Workshop', 'Stats', 'Includes level editor']","Linux,Mac,Windows,","Blacklight InteractivePublisher:Blacklight InteractiveRelease Date: Jan 29, 2016",Blacklight Interactive,Blacklight Interactive,Jan 29 2016,10438.0,169,
37316,Trine 2: Complete Story,Trine 2: Complete Story,35720.0,https://store.steampowered.com/app/35720/Trine_2_Complete_Story/,"95% of the 10,956 user reviews for this game are positive.","['Action', 'Adventure', 'Indie']","['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']","Linux,Mac,Windows,","FrozenbytePublisher:FrozenbyteRelease Date: Jun 6, 2013",Frozenbyte,Frozenbyte,Jun 6 2013,10408.0,170,
35538,How to Survive,How to Survive,250400.0,https://store.steampowered.com/app/250400/How_to_Survive/,"82% of the 12,630 user reviews for this game are positive.","['Action', 'Adventure', 'RPG']","['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","Windows,","Eko SoftwarePublisher:505 GamesRelease Date: Oct 23, 2013",Eko Software,505 Games,Oct 23 2013,10357.0,171,
29661,Fractured Space,Fractured Space,310380.0,https://store.steampowered.com/app/310380/Fractured_Space/,"77% of the 13,412 user reviews for this game are positive.","['Action', 'Adventure', 'Free to Play', 'Indie', 'Massively Multiplayer', 'Strategy']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Steam Leaderboards']","Mac,Windows,","Edge Case Games Ltd.Publisher:Edge Case Games Ltd.Release Date: Sep 22, 2016",Edge Case Games Ltd,Edge Case Games Ltd,Sep 22 2016,10327.0,172,
37329,Age of Empires® III: Complete Collection,Age of Empires® III: Complete Collection,105450.0,https://store.steampowered.com/app/105450/Age_of_Empires_III_Complete_Collection/,"88% of the 11,709 user reviews for this game are positive.","['Simulation', 'Strategy']","['Single-player', 'Multi-player', 'Steam Trading Cards']","Windows,","Ensemble StudiosPublisher:Microsoft StudiosRelease Date: Sep 15, 2009",Ensemble Studios,Microsoft Studios,Sep 15 2009,10304.0,173,
2011,The Escapists,The Escapists,298630.0,https://store.steampowered.com/app/298630/The_Escapists/,"89% of the 11,540 user reviews for this game are positive.","['Action', 'Adventure', 'Indie', 'Simulation', 'Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']","Linux,Mac,Windows,","Mouldy Toof StudiosPublisher:Team17 Digital LtdRelease Date: Feb 13, 2015",Mouldy Toof Studios,Team17 Digital Ltd,Feb 13 2015,10271.0,174,
7168,Dungeon Defenders II,Dungeon Defenders II,236110.0,https://store.steampowered.com/app/236110/Dungeon_Defenders_II/,"73% of the 14,042 user reviews for this game are positive.","['Action', 'Free to Play', 'Indie', 'RPG', 'Strategy']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']","Windows,","Trendy EntertainmentPublisher:Trendy EntertainmentRelease Date: Jun 20, 2017",Trendy Entertainment,Trendy Entertainment,Jun 20 2017,10251.0,175,
5155,My Summer Car,My Summer Car,516750.0,https://store.steampowered.com/app/516750/My_Summer_Car/,"90% of the 11,384 user reviews for this game are positive.","['Indie', 'Racing', 'Simulation', 'Early Access']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']","Windows,","Amistech GamesPublisher:Amistech GamesRelease Date: Oct 24, 2016",Amistech Games,Amistech Games,Oct 24 2016,10246.0,176,
37688,Amnesia: The Dark Descent,Amnesia: The Dark Descent,57300.0,https://store.steampowered.com/app/57300/Amnesia_The_Dark_Descent/,"95% of the 10,767 user reviews for this game are positive.","['Action', 'Adventure', 'Indie']","['Single-player', 'Full controller support', 'Captions available', 'Commentary available']","Linux,Mac,Windows,","Frictional GamesPublisher:Frictional GamesRelease Date: Sep 8, 2010",Frictional Games,Frictional Games,Sep 8 2010,10229.0,177,
35120,Town of Salem,Town of Salem,334230.0,https://store.steampowered.com/app/334230/Town_of_Salem/,"87% of the 11,701 user reviews for this game are positive.","['Indie', 'RPG', 'Strategy']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases', 'Steam Cloud']","Mac,Windows,","BlankMediaGamesPublisher:BlankMediaGamesRelease Date: Dec 15, 2014",BlankMediaGames,BlankMediaGames,Dec 15 2014,10180.0,178,
2971,Refunct,Refunct,406150.0,https://store.steampowered.com/app/406150/Refunct/,"95% of the 10,620 user reviews for this game are positive.","['Adventure', 'Casual', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Linux,Mac,Windows,","Dominique GrieshoferPublisher:Dominique GrieshoferRelease Date: Oct 16, 2015",Dominique Grieshofer,Dominique Grieshofer,Oct 16 2015,10089.0,180,
35942,World of Guns: Gun Disassembly,World of Guns: Gun Disassembly,262410.0,https://store.steampowered.com/app/262410/World_of_Guns_Gun_Disassembly/,"81% of the 12,273 user reviews for this game are positive.","['Free to Play', 'Indie', 'Simulation']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases']","Linux,Mac,Windows,","Noble Empire Corp.Publisher:Noble Empire Corp.Release Date: May 21, 2014",Noble Empire Corp,Noble Empire Corp,May 21 2014,9941.0,181,
23626,Fishing Planet,Fishing Planet,380600.0,https://store.steampowered.com/app/380600/Fishing_Planet/,"75% of the 13,112 user reviews for this game are positive.","['Free to Play', 'Massively Multiplayer', 'Simulation', 'Sports']","['Single-player', 'Multi-player', 'Online Multi-Player', 'MMO', 'Co-op', 'Online Co-op', 'Full controller support']","Linux,Mac,Windows,","Fishing Planet LLCPublisher:Fishing Planet LLCRelease Date: Aug 11, 2015",Fishing Planet LLC,Fishing Planet LLC,Aug 11 2015,9834.0,182,
37351,DC Universe™ Online,DC Universe™ Online,24200.0,https://store.steampowered.com/app/24200/DC_Universe_Online/,"79% of the 12,422 user reviews for this game are positive.","['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']","['Multi-player', 'MMO', 'Steam Achievements', 'Full controller support']","Windows,","Daybreak Game CompanyPublisher:Daybreak Game CompanyRelease Date: Nov 2, 2011",Daybreak Game Company,Daybreak Game Company,Nov 2 2011,9813.0,183,
23063,Tricolour Lovestory,Tricolour Lovestory,668630.0,https://store.steampowered.com/app/668630/Tricolour_Lovestory/,"91% of the 10,725 user reviews for this game are positive.","['Adventure', 'Casual', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","Windows,","HL-GalgamePublisher:SakuraGameRelease Date: Sep 20, 2017",HL Galgame,SakuraGame,Sep 20 2017,9760.0,184,
25335,Rising Storm 2: Vietnam,Rising Storm 2: Vietnam,418460.0,https://store.steampowered.com/app/418460/Rising_Storm_2_Vietnam/,"78% of the 12,503 user reviews for this game are positive.","['Action', 'Massively Multiplayer', 'Simulation', 'Strategy']","['Multi-player', 'Online Multi-Player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Stats', 'Includes level editor']","Windows,","Antimatter Games, Tripwire InteractivePublisher:Tripwire InteractiveFranchise:Rising StormRelease Date: May 30, 2017",Antimatter Games Tripwire Interactive,Tripwire InteractiveFranchise Rising Storm,May 30 2017,9752.0,185,
34148,BeamNG.drive,BeamNG.drive,284160.0,https://store.steampowered.com/app/284160/BeamNGdrive/,"88% of the 10,955 user reviews for this game are positive.","['Racing', 'Simulation', 'Early Access']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Includes level editor']","Windows,","BeamNGPublisher:BeamNGRelease Date: May 29, 2015",BeamNG,BeamNG,May 29 2015,9640.0,186,
33980,Eternal Senia,Eternal Senia,351640.0,https://store.steampowered.com/app/351640/Eternal_Senia/,"97% of the 9,927 user reviews for this game are positive.","['Action', 'Free to Play', 'Indie', 'RPG']",['Single-player'],"Windows,","Holy PriestPublisher:Holy PriestRelease Date: Jun 18, 2015",Holy Priest,Holy Priest,Jun 18 2015,9629.0,187,
37749,Moonbase Alpha,Moonbase Alpha,39000.0,https://store.steampowered.com/app/39000/Moonbase_Alpha/,"89% of the 10,792 user reviews for this game are positive.","['Adventure', 'Simulation', 'Strategy']","['Single-player', 'Multi-player', 'Co-op', 'Valve Anti-Cheat enabled', 'Stats', 'Steam Leaderboards']","Windows,","Virtual Heroes, Army Game StudioPublisher:NASARelease Date: Jul 6, 2010",Virtual Heroes Army Game Studio,NASA,Jul 6 2010,9605.0,188,
19548,"Papers, Please - The Short Film","Papers, Please - The Short Film",804320.0,https://store.steampowered.com/app/804320/Papers_Please__The_Short_Film/,"99% of the 9,532 user reviews for this video are positive.",,['Captions available'],"SteamOS,Linux,Mac,Windows,",,,,,9437.0,190,
2428,Duck Game,Duck Game,312530.0,https://store.steampowered.com/app/312530/Duck_Game/,"96% of the 9,827 user reviews for this game are positive.","['Action', 'Indie']","['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Includes level editor']","Windows,","Landon PodbielskiPublisher:Adult Swim GamesRelease Date: Jun 4, 2015",Landon Podbielski,Adult Swim Games,Jun 4 2015,9434.0,191,
37527,The Sims™ 3,The Sims™ 3,47890.0,https://store.steampowered.com/app/47890/The_Sims_3/,"81% of the 11,599 user reviews for this game are positive.",['Simulation'],['Single-player'],"Windows,","The Sims StudioPublisher:Electronic ArtsRelease Date: Jun 2, 2009",The Sims Studio,Electronic Arts,Jun 2 2009,9395.0,192,
33940,Portal Stories: Mel,Portal Stories: Mel,317400.0,https://store.steampowered.com/app/317400/Portal_Stories_Mel/,"95% of the 9,874 user reviews for this game are positive.","['Action', 'Adventure', 'Free to Play']","['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available', 'Steam Cloud']","Linux,Mac,Windows,","Prism Game Studios Ltd.Publisher:Prism Game Studios Ltd.Release Date: Jun 25, 2015",Prism Game Studios Ltd,Prism Game Studios Ltd,Jun 25 2015,9380.0,193,
2647,Mitos.is: The Game,Mitos.is: The Game,389570.0,https://store.steampowered.com/app/389570/Mitosis_The_Game/,"81% of the 11,538 user reviews for this game are positive.","['Free to Play', 'Simulation']",['Multi-player'],"Mac,Windows,","Freakinware StudiosPublisher:Freakinware StudiosRelease Date: Jul 29, 2015",Freakinware Studios,Freakinware Studios,Jul 29 2015,9346.0,194,
38216,STAR WARS™ - Knights of the Old Republic™,STAR WARS™ - Knights of the Old Republic™,32370.0,https://store.steampowered.com/app/32370/STAR_WARS__Knights_of_the_Old_Republic/,"87% of the 10,719 user reviews for this game are positive.","['Adventure', 'RPG']","['Single-player', 'Steam Cloud']","Mac,Windows,","BioWare, Aspyr (Mac)Publisher:LucasArts, Aspyr (Mac), Disney Interactive, LucasfilmRelease Date: Nov 19, 2003",BioWare Aspyr Mac,LucasArts Aspyr Mac Disney Interactive Lucasfilm,Nov 19 2003,9326.0,195,
624,Gotham City Impostors Free to Play,Gotham City Impostors Free to Play,206210.0,https://store.steampowered.com/app/206210/Gotham_City_Impostors_Free_to_Play/,"84% of the 10,964 user reviews for this game are positive.","['Action', 'Free to Play']","['Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']","Windows,","Monolith Productions, Inc.Publisher:Warner Bros. Interactive EntertainmentRelease Date: Aug 30, 2012",Monolith Productions Inc,Warner Bros Interactive Entertainment,Aug 30 2012,9210.0,196,
37542,Need For Speed: Hot Pursuit,Need For Speed: Hot Pursuit,47870.0,https://store.steampowered.com/app/47870/Need_For_Speed_Hot_Pursuit/,"79% of the 11,481 user reviews for this game are positive.",['Racing'],"['Single-player', 'Multi-player']","Windows,","Criterion GamesPublisher:Electronic ArtsRelease Date: Nov 16, 2010",Criterion Games,Electronic Arts,Nov 16 2010,9070.0,198,
35331,Double Action: Boogaloo,Double Action: Boogaloo,317360.0,https://store.steampowered.com/app/317360/Double_Action_Boogaloo/,"92% of the 9,764 user reviews for this game are positive.","['Action', 'Free to Play', 'Indie']","['Multi-player', 'Cross-Platform Multiplayer', 'Includes level editor', 'Includes Source SDK']","Linux,Windows,","Double Action FactoryPublisher:Double Action FactoryRelease Date: Oct 23, 2014",Double Action Factory,Double Action Factory,Oct 23 2014,8983.0,199,
19290,Northgard,Northgard,466560.0,https://store.steampowered.com/app/466560/Northgard/,"84% of the 10,655 user reviews for this game are positive.","['Indie', 'Simulation', 'Strategy']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","Mac,Windows,","Shiro GamesPublisher:Shiro GamesRelease Date: Mar 7, 2018",Shiro Games,Shiro Games,Mar 7 2018,8950.0,200,
36773,Surgeon Simulator,Surgeon Simulator,233720.0,https://store.steampowered.com/app/233720/Surgeon_Simulator/,"82% of the 10,878 user reviews for this game are positive.","['Action', 'Indie', 'Simulation']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","Linux,Mac,Windows,","Bossa StudiosPublisher:Bossa StudiosRelease Date: Apr 19, 2013",Bossa Studios,Bossa Studios,Apr 19 2013,8920.0,201,
36653,Skullgirls,Skullgirls,245170.0,https://store.steampowered.com/app/245170/Skullgirls/,"95% of the 9,380 user reviews for this game are positive.","['Action', 'Indie']","['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","SteamOS,Linux,Mac,Windows,","Lab Zero GamesPublisher:Marvelous, Autumn GamesRelease Date: Aug 22, 2013",Lab Zero Games,Marvelous Autumn Games,Aug 22 2013,8911.0,202,
3672,Tree of Savior (English Ver.),Tree of Savior (English Ver.),372000.0,https://store.steampowered.com/app/372000/Tree_of_Savior_English_Ver/,"60% of the 14,794 user reviews for this game are positive.","['Free to Play', 'Massively Multiplayer', 'RPG']","['MMO', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support', 'Valve Anti-Cheat enabled']","Windows,","IMCGAMES Co.,Ltd.Publisher:IMCGAMES Co.,Ltd.Release Date: Mar 28, 2016",IMCGAMES Co Ltd,IMCGAMES Co Ltd,Mar 28 2016,8876.0,203,
33386,WARMODE,WARMODE,391460.0,https://store.steampowered.com/app/391460/WARMODE/,"59% of the 14,877 user reviews for this game are positive.","['Action', 'Free to Play', 'Early Access']","['Multi-player', 'Steam Trading Cards']","Windows,","WARTEAMPublisher:WARTEAMRelease Date: Aug 25, 2015",WARTEAM,WARTEAM,Aug 25 2015,8777.0,204,
