,app_name,title,id,url,all_ratio,genres,specs,platform,developer,Developer,Publisher,Release_Date,Positive_Review,Positive_Review_Rank,Top_Played_Rank
32879,Anno 2205™,Anno 2205™,375910.0,https://store.steampowered.com/app/375910/Anno_2205/,"61% of the 2,936 user reviews for this game are positive.","['Simulation', 'Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards']","Windows,","Blue BytePublisher:UbisoftRelease Date: Nov 3, 2015",Blue Byte,Ubisoft,Nov 3 2015,1791.0,838,
34969,Phantom Breaker: Battle Grounds,Phantom Breaker: Battle Grounds,329490.0,https://store.steampowered.com/app/329490/Phantom_Breaker_Battle_Grounds/,"84% of the 2,132 user reviews for this game are positive.",['Action'],"['Single-player', 'Online Multi-Player', 'Local Multi-Player', 'Online Co-op', 'Local Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Windows,","MAGES. Inc.Publisher:DegicaRelease Date: Jan 23, 2015",MAGES Inc,Degica,Jan 23 2015,1791.0,838,
38662,INSURGENCY: Modern Infantry Combat,INSURGENCY: Modern Infantry Combat,17700.0,https://store.steampowered.com/app/17700/INSURGENCY_Modern_Infantry_Combat/,"87% of the 2,055 user reviews for this game are positive.",['Action'],"['Multi-player', 'Mods', 'Mods (require HL2)', 'Valve Anti-Cheat enabled']","Windows,","Insurgency Development TeamPublisher:New World InteractiveRelease Date: Oct 23, 2007",Insurgency Development Team,New World Interactive,Oct 23 2007,1788.0,840,
34823,Robot Roller-Derby Disco Dodgeball,Robot Roller-Derby Disco Dodgeball,270450.0,https://store.steampowered.com/app/270450/Robot_RollerDerby_Disco_Dodgeball/,"92% of the 1,941 user reviews for this game are positive.","['Action', 'Indie', 'Sports']","['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Steam Leaderboards']","Linux,Mac,Windows,","Erik AsmussenPublisher:82 AppsRelease Date: Feb 19, 2015",Erik Asmussen,82 Apps,Feb 19 2015,1786.0,841,
11455,Crash Bandicoot™ N. Sane Trilogy,Crash Bandicoot™ N. Sane Trilogy,731490.0,https://store.steampowered.com/app/731490/Crash_Bandicoot_N_Sane_Trilogy/,"93% of the 1,916 user reviews for this game are positive.",['Action'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']","Windows,","Vicarious Visions, Iron GalaxyPublisher:ActivisionRelease Date: Jun 29, 2018",Vicarious Visions Iron Galaxy,Activision,Jun 29 2018,1782.0,842,
36921,Mabinogi,Mabinogi,212200.0,https://store.steampowered.com/app/212200/Mabinogi/,"72% of the 2,473 user reviews for this game are positive.","['Action', 'Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'RPG', 'Simulation']","['Single-player', 'Multi-player', 'MMO', 'Co-op', 'Steam Trading Cards']","Windows,","NEXON Korea Corp.Publisher:Nexon America Inc.Release Date: Dec 6, 2012",NEXON Korea Corp,Nexon America Inc,Dec 6 2012,1781.0,843,
36592,Gas Guzzlers Extreme,Gas Guzzlers Extreme,243800.0,https://store.steampowered.com/app/243800/Gas_Guzzlers_Extreme/,"84% of the 2,118 user reviews for this game are positive.","['Action', 'Racing', 'Sports']","['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Steam Leaderboards']","Windows,","GamepiresPublisher:Iceberg InteractiveRelease Date: Oct 8, 2013",Gamepires,Iceberg Interactive,Oct 8 2013,1779.0,844,
24055,Cat Quest,Cat Quest,593280.0,https://store.steampowered.com/app/593280/Cat_Quest/,"95% of the 1,872 user reviews for this game are positive.","['Action', 'Adventure', 'Indie', 'RPG']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Mac,Windows,","The GentlebrosPublisher:PQube LimitedRelease Date: Aug 8, 2017",The Gentlebros,PQube Limited,Aug 8 2017,1778.0,845,
9707,Closers,Closers,215830.0,https://store.steampowered.com/app/215830/Closers/,"73% of the 2,428 user reviews for this game are positive.","['Action', 'Free to Play', 'Massively Multiplayer', 'RPG']","['Single-player', 'Multi-player', 'Online Multi-Player', 'MMO', 'Co-op', 'Online Co-op', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support']","Windows,","Naddic GamesPublisher:En Masse EntertainmentRelease Date: Feb 6, 2018",Naddic Games,En Masse Entertainment,Feb 6 2018,1772.0,846,
36209,Betrayer,Betrayer,243120.0,https://store.steampowered.com/app/243120/Betrayer/,"81% of the 2,184 user reviews for this game are positive.","['Action', 'Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']","Windows,","Blackpowder GamesPublisher:Blackpowder GamesRelease Date: Mar 24, 2014",Blackpowder Games,Blackpowder Games,Mar 24 2014,1769.0,847,
34907,Apotheon,Apotheon,208750.0,https://store.steampowered.com/app/208750/Apotheon/,"90% of the 1,960 user reviews for this game are positive.","['Action', 'Adventure', 'Indie', 'RPG']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud']","Linux,Mac,Windows,","AlientrapPublisher:AlientrapRelease Date: Feb 3, 2015",Alientrap,Alientrap,Feb 3 2015,1764.0,848,
1933,Without Within,Without Within,345650.0,https://store.steampowered.com/app/345650/Without_Within/,"88% of the 2,005 user reviews for this game are positive.","['Free to Play', 'Indie']",['Single-player'],"Linux,Mac,Windows,","InvertMousePublisher:InvertMouseRelease Date: Jan 22, 2015",InvertMouse,InvertMouse,Jan 22 2015,1764.0,848,
