,all_ratio,developer
9415,38%,Sly
9416,100%,
9417,62%,
9418,81%,PlayColorfulGames
9419,86%,Thick &amp; Thin
9420,82%,"Tozai Games, Inc., O-TWO inc., ESQUADRA,inc."
9421,32%,G. Malta
9422,51%,Aerosoft GmbH
9423,63%,Digital Train Model
9424,66%,Overgroup
9425,54%,Blender Games
9426,90%,Quiet River
9427,100%,Ridiculon
9428,93%,"Edmund McMillen, Tyler Glaiel"
9429,89%,Confused Pelican
9430,57%,SimProse Studios
9431,90%,NatsumeAtari Inc.
9432,84%,"Micah Brown, Benjamin Brown"
9433,90%,Telltale Games
9434,36%,Super Strong Games
9435,40%,morojenoe's empire
9436,90%,DRUNKEN APES
9437,73%,LiMAVR
9438,88%,NedoStudio
9439,100%,"Brian Lancaster, Laughing Coyote Software"
9440,50%,Electric Root
9441,96%,"Rainbow Rhino, CINEMAX, s.r.o."
9442,100%,Bikkuri Software
9443,71%,Dragon Foundry
9444,41%,40Ggames
9445,45%,mangamengine
9446,61%,oblomysh
9447,53%,
9448,100%,
9449,27%,Evradan
9450,97%,
9451,42%,James Roll
9452,54%,DONTNOD ELEVEN
9453,88%,Subvert Games
9454,84%,Tim Conkling
9455,53%,Endwise
9456,90%,Smartly Dressed Games
9457,80%,William Cheek
9458,93%,Automaton
9459,82%,34BigThings srl
9460,90%,WZOGI
9461,66%,qberty
9462,73%,Skobbejak Games
9463,66%,Kajak Games
9464,67%,
9465,84%,Wraith Studio
9466,56%,Reconnect Software
9467,72%,Problematicar
9468,76%,bonefrog
9469,46%,EVERYDAYiPLAY
9470,90%,Thugnificent
9471,93%,SilverBlade
9472,75%,CRIO Studios
9473,46%,Falcoware
9474,50%,"Arttu Tuovinen, Alan Bourhis, Michael Callaghan"
9475,65%,Tarsier Studios
9476,90%,Dharker Studio
9477,88%,"Psyonix, Inc."
9478,87%,Edible Entertainment
9479,72%,Celery Emblem™
9480,73%,Bmc Studio
9481,28%,Milestone S.r.l.
9482,70%,Halycon Media
9483,56%,"Hangzhou Xinlan Network Technology Co.,Ltd."
9484,88%,Yoann Laulan
9485,52%,
9486,93%,Sodigital
9487,71%,Whiskeybarrel Studios
9488,56%,Charlie Fleed
9489,89%,MyDreamForever
9490,78%,Moraes Studio
9491,23%,Codemasters
9492,60%,zachs123456
9493,69%,Zero Sum Games
9494,44%,Big Ant Studios
9495,41%,Blender Games
9496,88%,Pavo Studio
9497,90%,Circus
9498,76%,Stardog Games
9499,89%,
9500,91%,
9501,35%,
9502,25%,Consala Games
9503,64%,
9504,81%,Emanuele Leoncilli
9505,78%,Medis Media
9506,86%,Cateia Games
9507,90%,Unikgame
9508,83%,Light Road Games
9509,46%,Michael Todd Games
9510,100%,REFMAP
9511,78%,Temple Gates Games
9512,82%,"Ubisoft Annecy, Ubisoft Montpellier, Ubisoft Kiev"
9513,59%,HB Studios
9514,95%,lingtanstudio
9515,56%,
9516,28%,Mute Canary
9517,72%,Satur Entertainment
9518,46%,Bohemia Interactive
9519,83%,Bohemia Interactive
9520,91%,Zanardi and Liza
9521,97%,
9522,66%,
9523,72%,"Synapse Games, Chinzilla"
9524,98%,
9525,99%,
9526,96%,
9527,100%,Furiously Inactive Games
9528,96%,GameHouse
9529,100%,
9530,92%,
9531,100%,
9532,95%,
9533,92%,Alexander Spillman
9534,100%,
9535,84%,Alientrap
9536,71%,Little Green Men Games
9537,87%,"Meteorise, HONEY∞PARADE GAMES"
9538,93%,"Meteorise, HONEY∞PARADE GAMES"
9539,72%,Stitch Media
9540,58%,MysteryTag
9541,58%,Necrophone Games
9542,96%,
9543,76%,Dio Alias Games
9544,31%,"Digital Cookie Co., Ltd."
9545,87%,"Cosmo Machia, Alfa System"
9546,90%,
9547,86%,Studio Pieplus
9548,80%,SP-time
9549,84%,Pipliz
9550,71%,High and Wide
9551,75%,GK
9552,74%,Hardtalk Studio
9553,82%,Afterthought Games
9554,83%,Screwfly Studios
9555,81%,
9556,78%,Primary cells studio
9557,62%,Coconut Tree Studio
9558,60%,Choice of Games
9559,60%,Cyanide Studio
9560,80%,"SNK CORPORATION, Abstraction Games"
9561,50%,Digital Train Model
9562,94%,"SNK CORPORATION, Abstraction Games"
9563,45%,"34BigThings srl, Event Horizon Studios"
9564,76%,Matt Frank
9565,95%,Transhuman Design
9566,91%,
9567,91%,Quiet River
9568,60%,Obsidian Entertainment
9569,66%,Insane Dreamers
9570,93%,Michal Pawlowski
9571,100%,DeathMofuMofu
9572,58%,KishMish Games
9573,44%,Team B.R.O.S.
9574,95%,Oats Studios
9575,97%,
9576,90%,
9577,45%,Web Interactive Solutions
9578,96%,
9579,94%,"IDEA FACTORY, COMPILE HEART, FELISTELLA"
9580,65%,Winter Wolves
9581,72%,Nicolas Bernard
9582,50%,
9583,72%,
9584,54%,Vyacheslav Shilikhin
9585,100%,Tale Studios
9586,80%,World-Loom
9587,92%,
9588,77%,Behaviour Digital Inc.
9589,76%,
9590,62%,Sillysoft Games
9591,77%,Zeiva Inc
9592,100%,Neko Climax Studios
9593,64%,Triskell Interactive
9594,60%,Paper Plane
9595,64%,Codemasters
9596,100%,"Green Willow Games, LLC"
9597,90%,VIS-Games
9598,58%,
9599,90%,sleepy macaw
9600,70%,
9601,50%,DIGIDICED
9602,46%,
9603,57%,Kukouri Mobile Entertainment
9604,97%,Team D-13
9605,0%,Acuze Interactives
9606,96%,
9607,36%,Arc System Works
9608,98%,"Modern Visual Arts Laboratory, SEO INSEOK"
9609,81%,IndieGala
9610,84%,Boomzap Entertainment
9611,91%,Tibith
9612,71%,HFM Games
9613,94%,Blue  Blaze Gaming
9614,88%,Fermenter Games
9615,74%,Reaktor
9616,85%,Invisible Collective
9617,40%,Manic Mind Game Lab
9618,85%,Tarsier Studios
9619,64%,BlankMediaGames
9620,78%,Haemimont Games
9621,27%,Haemimont Games
9622,94%,WMY Studio
9623,100%,4D Door Games
9624,78%,Anti Gravity Game Studios
9625,92%,Rebourne Studios
9626,75%,Elushis
9627,80%,Rasul Mono
9628,41%,
9629,50%,Bono Games
9630,61%,Oriplay
9631,68%,Crenetic GmbH Studios
9632,94%,DYA Games
9633,62%,oblomysh
9634,89%,Sun-Studios
9635,90%,Rad Codex
9636,100%,
9637,92%,
9638,90%,Platonic Partnership Ltd
9639,91%,Dovetail Games
9640,9%,Triangle Studios
9641,64%,"Colin Wren, Sean Scaplehorn, Wayne Jackson, Jason Mallett"
9642,87%,Megastorm Games
9643,66%,Interactive Gaming Studios
9644,87%,Agar3s
9645,74%,SMAC Games
9646,91%,Vile Monarch
9647,55%,
9648,83%,Rebellion
9649,86%,Berzerk Studio
9650,53%,Under The Bridge
9651,71%,Hart Laboratories LLC
9652,70%,"Norven Games, Kaan Köse"
9653,66%,Tanki Online Ltd.
9654,76%,Psilocybe Games
9655,77%,The Deep End Games
9656,82%,
9657,92%,Your Story Interactive
9658,44%,Digital Continue
9659,84%,
9660,79%,"Antimatter Games, Tripwire Interactive"
9661,83%,Kether Studio
9662,87%,Blindflug Studios AG
9663,87%,
9664,78%,"Antimatter Games, Tripwire Interactive"
9665,65%,Daedalic Studio West
9666,84%,
9667,75%,Alessandro Guzzo
9668,69%,ACE MADDOX
9669,25%,G.Malta
9670,93%,Expansive Worlds
9671,46%,
9672,74%,Flying. Stone. Production
9673,87%,B-lusterLight
9674,84%,MoeNovel
9675,100%,
9676,97%,Walter Machado
9677,85%,Kitsune Games
9678,77%,
9679,84%,
9680,83%,SharkGame
9681,85%,Matthew Brown
9682,57%,
9683,59%,REX PEX GAMES
9684,84%,Milkstone Studios
9685,90%,Aleksandr Golovkin
9686,92%,Garden Shed Studios
9687,66%,Anatoliy Loginovskikh
9688,94%,Kyle Seeley
9689,90%,"Tequila Works, QLOC"
9690,88%,
9691,53%,Summer Media
9692,54%,BrainStrainStudios
9693,60%,Ticklersoft
9694,78%,
9695,89%,
9696,38%,Mojo Bones
9697,93%,
9698,80%,"Act 3 Games, LLC"
9699,95%,Blue Giraffe
9700,15%,Wilco
9701,82%,10tons Ltd
9702,66%,Section Studios
9703,44%,The Ninth Art
9704,72%,Gamera Interactive
9705,84%,Kaia Studios
9706,84%,Creative Bytes Studios
9707,86%,Juggernaut Games
9708,94%,madosoft
9709,59%,Nadeo
9710,85%,"Right Nice Games, Grip Digital"
9711,63%,
9712,82%,NukGames
9713,94%,
9714,73%,MadGearGames
9715,90%,
9716,92%,Iron Monkey
9717,90%,
9718,82%,NCR Games
9719,84%,Brainwash Gang
9720,22%,BefuddleBug
9721,88%,Endless Loop Studios
9722,69%,Voided Pixels
9723,88%,Craig Daversa
9724,69%,FreezeNova
9725,46%,Telepaths Tree
9726,66%,Brave Giant LTD
9727,80%,
9728,98%,Kunos Simulazioni
9729,93%,Cat Nigiri
9730,92%,Mohawk Games
9731,81%,AMPLITUDE Studios
9732,91%,VaragtP
9733,66%,Devdan Games
9734,65%,"MAGES. Inc., 5pb., Experience Inc."
9735,64%,Pixel Night
9736,70%,Corbie Games
9737,92%,Antab Studio
9738,9%,Sameer Hirezi
9739,76%,GSC Game World
9740,66%,Viacheslav Bushuev
9741,55%,Neojac Entertainment inc.
9742,42%,CM Softworks Inc.
9743,48%,2DragonsGames
9744,80%,Rice Cooker Republic
9745,72%,
9746,78%,Pixelated Milk
9747,83%,
9748,77%,Paradox Interactive
9749,85%,Colossal Order Ltd.
9750,90%,WarfareSims
9751,88%,Borealys Games
9752,55%,Racing Bros
9753,70%,Luxorix Games
9754,75%,Random Seed Games
9755,91%,Electrocosmos
9756,92%,MGFM
9757,70%,System 3
9758,91%,IzHard
9759,88%,SCS Software
9760,53%,Pill Bug Interactive
9761,89%,Zetsubou
9762,95%,Dedication Labs
9763,46%,SF team
9764,82%,RAZBAM Sims
9765,75%,Mariusz Gibas
9766,66%,
9767,91%,Paper Cult
9768,96%,9 Eyes Game Studio
9769,70%,Choice of Games
9770,94%,Choice of Games
9771,46%,FIVE-BN GAMES
9772,62%,Protection Games
9773,60%,Castle
9774,93%,Behaviour Digital Inc.
9775,51%,"Arc System Works, TOYBOX Inc."
9776,100%,
9777,60%,Sergey Bobrov
9778,80%,Thomas ZIGHEM
9779,65%,Hexdraw
9780,39%,Silent Legends
9781,55%,Ch.ZBK
9782,77%,
9783,59%,
9784,79%,Badim
9785,92%,Ametist studio
9786,100%,Brightrock Games
9787,94%,Smokebox
9788,71%,Ezhaac Studio
9789,79%,Playful Corp.
9790,75%,No Brakes Games
9791,79%,David Schneider
9792,83%,Casioqu
9793,72%,Con Artist Games
9794,84%,Valve
9795,38%,Madbox Entertainment
9796,72%,"Wix Games, MAD.com"
9797,77%,Coconut Island Studio
9798,68%,"Synapse Games, Chinzilla"
9799,33%,Solid Patterns
9800,85%,Alex Rose
9801,70%,Nerdook Productions
9802,66%,Warfare Studios
9803,61%,"UniqueGames, Greencode"
9804,92%,Leaning Tower Studio
9805,83%,Alpha72 Games
9806,87%,Choice of Games
9807,80%,Just Trains
9808,33%,Dovetail Games
9809,75%,Just Flight
9810,88%,Arkane Studios
9811,74%,Strategiae
9812,74%,Square Enix
9813,94%,
9814,50%,
9815,30%,FeelThere
9816,61%,Acclaim Cheltenham
9817,27%,
9818,80%,White Giant RPG Studios
9819,77%,"Shanghai JingCai Computer Software Development Co., Ltd"
9820,34%,FunnerFlight
9821,81%,Graviteam
9822,92%,Frontwing
9823,100%,Frontwing
9824,95%,onebraverobot
9825,67%,Chernov VyacheslavFranchise:Westboro
9826,81%,Project ICKX
9827,84%,Sergio &amp; Simon
9828,70%,Reine Works
9829,63%,Big Way Games
9830,55%,Arcane Architect
9831,92%,
9832,57%,CloudWeight Studios
9833,89%,"Storia, Narrator, SimonCreative"
9834,73%,Mikhail Nevsky
9835,97%,@unepic_fran
9836,79%,System 3
9837,97%,Circus Atos
9838,53%,Expansive Worlds
9839,46%,"Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)"
9840,94%,Super God
9841,94%,Mango Protocol
9842,87%,Jajaben Games
9843,62%,Capcom
9844,81%,Rebellion
9845,92%,
9846,84%,
9847,80%,Rebellion
9848,89%,Andrew Smith
9849,66%,Nordcurrent
9850,78%,"QLOC, DIMPS"
9851,84%,Rat King Entertainment
9852,16%,"Mokylin Tech. Co.,Ltd"
9853,16%,"Ubisoft Paris, Ubisoft Annecy, Ubisoft Bucharest, Ubisoft Montpellier, Ubisoft Milan, Reflections"
9854,92%,
9855,35%,MadAboutGamesStudios
9856,56%,Lightbulb Crew
9857,55%,Sleepless Clinic
9858,38%,Exozet
9859,70%,
9860,23%,Colossal Wreck
9861,93%,"MAGES. Inc., 5pb."
9862,87%,
9863,83%,
9864,84%,David OReilly
9865,100%,David OReilly
9866,70%,
9867,93%,Onur Vural and Leigh Christian
9868,86%,
9869,97%,Nickervision Studios
9870,66%,"2D Heroes, Ursa Games"
9871,100%,
9872,78%,Child-Dream
9873,32%,Ready At Dawn
9874,90%,"CINEMAX, s.r.o."
9875,95%,Milkstone Studios
9876,68%,
9877,79%,EarthWork Games
9878,77%,The Young Socratics
9879,91%,Totem Games
9880,92%,"Oleg Sergeev, Andrey Rumak, Do My Best"
9881,41%,Blue Sunset Games
9882,67%,Robot Entertainment
9883,95%,Hudell Tales
9884,71%,"Black Chicken Studios, inc."
9885,93%,Reactive Drop Team
9886,89%,"Ensemble Studios, Behaviour Interactive, 343 Industries"
9887,96%,Koreez
9888,90%,OneShark
9889,66%,ONEVISION GAMES
9890,92%,Foolish Mortals Games
9891,90%,Fancy Fish Games
9892,25%,Spectrum Games
9893,44%,VaNyuHa
9894,45%,"KxONE, Andrew Drumov, starmops"
9895,45%,5th Planet Games
9896,58%,Krin Juangbhanich
9897,96%,"Beep Games, Inc."
9898,86%,Telltale Games
9899,94%,"Double Fine Productions, Shiny Shoe"
9900,45%,Activision
9901,51%,Axyos Games
9902,76%,Pragmatix Ltd
9903,87%,Expansive Worlds
9904,100%,Engage Pixel
9905,58%,Lucas Parise
9906,50%,Iceflake Studios
9907,33%,YellowEgg game studios
9908,82%,Outcorp
9909,20%,VGstudio
9910,100%,DoubtfulSoup
9911,82%,GSC Game World
9912,58%,
9913,94%,Nik Nak Studios
9914,95%,
9915,50%,ExViRe
9916,48%,
9917,46%,Stereo7 Games
9918,58%,Allods Team
9919,87%,Allods Team
9920,77%,Dovetail Games
9921,85%,Dovetail Games
9922,46%,"IKI STUDIOS, LLC"
9923,100%,Polyraptor Games
9924,71%,Ankama Studio
9925,93%,"Cavalier Game Studios, Tequila Works"
9926,94%,Beamdog
9927,79%,Playtonic Games
9928,42%,"Javier Rollon, Philipp Muenzel"
9929,58%,"Paper Pirates, rumata_lab"
9930,93%,@lukasinspace
9931,100%,Star Maid Games
9932,72%,Big Robot Ltd
9933,85%,desunoya
9934,81%,Screwy Lightbulb
9935,47%,Kyvos Studios
9936,96%,Fabraz
9937,64%,SkyRiver Studios
9938,82%,Milkstone Studios
9939,60%,StarSystemStudios™
9940,59%,"2Play, Prasius"
9941,64%,HFM Games
9942,93%,Interplay Entertainment Corp.
9943,63%,
9944,79%,Ithaqua Labs
9945,84%,"MAGES. Inc., 5pb"
9946,87%,Cryptic Sea
9947,26%,BIG WOOD GAMES
9948,69%,Ara Interactive
9949,60%,Xorcerox
9950,60%,Play Publishing
9951,96%,Nathan Meunier
9952,100%,3GoGames
9953,51%,REX PEX GAMES
9954,80%,Spacelight Studio
9955,64%,Just Trains
9956,56%,Just Trains
9957,36%,Stupid Stupid Games
9958,79%,Paradox Development Studio
9959,31%,Beardserk
9960,92%,Quiet River
9961,59%,Paradox Development Studio
9962,82%,Paradox Development Studio
9963,100%,Kraken Bit
9964,62%,Denis Galanin (mif2000)
9965,61%,Iceflake Studios
9966,68%,Fosfatina Ediciones
9967,98%,Jacob Janerka
9968,92%,Yacht Club Games
9969,30%,b-alive gmbh
9970,96%,Dicesuki
9971,35%,Peace
9972,33%,Lord Kres
9973,80%,Micropsia Games
9974,61%,Windforce
9975,33%,IronBoundManzer
9976,62%,Weixi Studio
9977,82%,PaperSeven LTD
9978,73%,Crania Games
9979,64%,Assemble Entertainment
9980,68%,Assemble Entertainment
9981,55%,Huckleberry Games S.A.
9982,52%,Kylotonn
9983,81%,"Smiling Buddha Games, LLC"
9984,82%,"GZ Storm, Astrojone"
9985,97%,Whirlpool
9986,77%,HJO Creations
9987,98%,
9988,69%,Wicked Witch Software
9989,86%,
9990,82%,Salamandra88
9991,93%,Paradox Interactive
9992,66%,Paradox Development Studio
9993,50%,Paradox Development Studio
9994,56%,Paradox Development Studio
9995,71%,Paradox Development Studio
9996,86%,DolphinBarn
9997,50%,BattleGames
9998,92%,IPACS
9999,91%,Brightrock Games
10000,72%,MTR
10001,69%,Horizon Studio
10002,75%,
10003,93%,Narrator
10004,34%,
10005,85%,SoftCoder
10006,73%,
10007,61%,
10008,70%,Anatoliy Loginovskikh
10009,76%,Goatee Games
10010,77%,Muse Games
10011,63%,MightyCodeDragon
10012,66%,Anti-Ded GameDev
10013,98%,"Kiwiforge, Timothy Vincent"
10014,83%,
10015,72%,Aftermath Media
10016,66%,Zoltok's
10017,60%,The Rock Studio
10018,83%,PacoProject
10019,96%,
10020,83%,ADhD Studios
10021,85%,
10022,75%,Unusualsoft
10023,96%,
10024,91%,
10025,90%,
10026,82%,Choice of Games
10027,62%,Panoramik Inc
10028,81%,
10029,100%,gtscom
10030,58%,toxtronyx interactive GmbH
10031,84%,Dedication Games
10032,83%,Pixel Crow
10033,93%,Terrible Toybox
10034,92%,Muzintou
10035,85%,
10036,56%,
10037,91%,
10038,100%,
10039,97%,
10040,93%,
10041,100%,
10042,71%,
10043,100%,
10044,85%,Slothzilla Games
10045,100%,
10046,71%,
10047,60%,Art Games
10048,57%,Gurila Ware Games
10049,39%,Virtual Top
10050,65%,
10051,85%,Videocult
10052,95%,Majorariatto
10053,60%,Nick Shesterin
10054,73%,Neoclassic Games
10055,91%,Wolfray Entertainment
10056,94%,
10057,88%,Dan Fornace
10058,100%,Spaceboy Games
10059,76%,BEta - indie
10060,84%,
10061,81%,Digdog Studio
10062,80%,
10063,91%,"KOEI TECMO GAMES CO., LTD."
10064,82%,"Castle Pixel, LLC."
10065,87%,Sumo Digital
10066,62%,ANASTASI SUKHONOSOVA
10067,91%,Dr_Crewcut
10068,85%,New World Interactive
10069,68%,Virtys
10070,83%,DOG HOGGLER
10071,67%,"MAGES. Inc., 5pb., Experience Inc."
10072,73%,Life Forge Team
10073,87%,Overhype Studios
10074,90%,"Overhype Studios, Breakdown Epiphanies"
10075,94%,"Spike Chunsoft Co., Ltd."
10076,100%,Interplay
10077,97%,Rolling Crown
10078,100%,Berserk Games
10079,80%,MrCiastku
10080,88%,usanik
10081,97%,Jutsu Games
10082,78%,"Panda Indie Studio, WrathSchneider"
10083,57%,Si7 Studio
10084,83%,Nerdook Productions
10085,84%,New World Interactive
10086,38%,JDM4iK Games
10087,93%,AZAMATIKA
10088,100%,AZAMATIKA
10089,83%,Digitalfossils Ltd
10090,78%,Bitmap Bureau
10091,89%,M. Hanka
10092,91%,Out of the Park Developments
10093,73%,"KOEI TECMO GAMES CO., LTD."
10094,64%,EcoGames
10095,60%,
10096,93%,TML-Studios
10097,66%,Robot Riot UG (haftungsbeschränkt)
10098,62%,Alexander Goodwin
10099,69%,Tatyana Murzina
10100,78%,"Every Single Soldier, Retro Epic"
10101,72%,
10102,74%,
10103,100%,Mokomoto
10104,70%,"KOEI TECMO GAMES CO., LTD."
10105,40%,Badim
10106,46%,KADOKAWA
10107,62%,MagicIndie
10108,63%,
10109,71%,Timberwolf Studios
10110,55%,Lapusanu Patriciu
10111,92%,Colossal Order Ltd.
10112,35%,
10113,45%,Rebellion
10114,82%,RETO MOTO
10115,40%,Spiral House Ltd.
10116,79%,"KOEI TECMO GAMES CO., LTD."
10117,100%,Dashing Strike
10118,52%,Dekovir Entertainment
10119,100%,"KOEI TECMO GAMES CO., LTD."
10120,45%,
10121,58%,
10122,56%,Talentplace
10123,48%,PokerStars Mobile Limited
10124,73%,Elven Workshop
10125,82%,Kremlingames
10126,92%,Quiet River
10127,44%,Mind Leak
10128,70%,"Romans I XVI Gaming, LLC"
10129,77%,3D2 Entertainment
10130,89%,
10131,69%,Punch! Software
10132,84%,
10133,58%,Aldorlea Games
10134,50%,
10135,28%,Akrono
10136,81%,PanGuoJun
10137,74%,RaveyLarge
10138,95%,Tamsoft
10139,91%,Tamsoft
10140,100%,Tamsoft
10141,91%,Tamsoft
10142,69%,Tamsoft
10143,100%,Tamsoft
10144,92%,Tamsoft
10145,100%,Tamsoft
10146,89%,Sungazer Software
10147,83%,Siactro
10148,62%,EntwicklerX
10149,57%,"Quantum Phoenix Studio, Dennis Esie"
10150,58%,
10151,88%,Paul Bird
10152,68%,3 Minute Games
10153,70%,
10154,40%,Paper Pirates
10155,83%,Parabole
10156,90%,
10157,72%,
10158,71%,Maru Project Develop Team
10159,80%,Starwind Games
10160,75%,No Goblin
10161,100%,Infinite Fall
10162,95%,"Iguana Entertainment, Nightdive Studios"
10163,64%,Dovetail Games
10164,94%,"Cosmic Engineers, Alan Hazelden, Benjamin Davis, Tyu"
10165,76%,CarlMorganArt
10166,22%,Alex Danilow
10167,64%,Amaterasu Software
10168,67%,Spellbook
10169,80%,Redpoint Games
10170,80%,"FK Digital, Arc System Works"
10171,72%,
10172,78%,17Studio
10173,40%,Virtual Top
10174,87%,Expansive Worlds
10175,95%,Valravn Games
10176,88%,Spaces of Play UG
10177,68%,Reflexive Entertainment
10178,91%,
10179,75%,Blender Games
10180,65%,Tonguç Bodur
10181,60%,Moongate Digital
10182,76%,
10183,82%,free08Games
10184,70%,
10185,85%,Milestone S.r.l.
10186,41%,Clawed Paw
10187,16%,Dagestan Technology
10188,53%,
10189,94%,ZAR 21
10190,69%,
10191,100%,WeirdBeard
10192,73%,"Scientifically Proven Entertainment, LLC., Flying Tiger Entertainment,Inc."
10193,65%,Andrii Vintsevych
10194,87%,Subvert Games
10195,75%,Stranga
10196,97%,SMG Studio
10197,46%,
10198,46%,Kedexa
10199,70%,Narayan Games
10200,55%,Little Big Lee
10201,94%,
10202,100%,magicdweedoo
10203,58%,rocketship
10204,90%,Casual Brothers
10205,72%,EasyWays Team
10206,95%,Matt Dabrowski
10207,100%,Craig Barnes
10208,75%,Sebastian Groll
10209,100%,Rooster Teeth Games
10210,100%,Rooster Teeth Games
10211,88%,Stanislaw Truchowski
10212,95%,nextReality Games
10213,89%,Gamepires
10214,69%,Maulidan Games
10215,79%,
10216,91%,ThankCreate Studio
10217,84%,Fishing Planet LLC
10218,41%,Expect Studio
10219,76%,
10220,60%,Dharker Studio
10221,70%,Anawiki Games
10222,81%,Deathink
10223,71%,NVYVE® Studios
10224,79%,
10225,95%,
10226,78%,World-Loom
10227,78%,Freedomize Studio
10228,42%,Deckbound
10229,90%,Doragon Entertainment
10230,68%,Alientrap
10231,62%,
10232,80%,Spread Shot Studios LLC
10233,85%,Turbo Pixel Studios
10234,100%,Rooster Teeth Games
10235,84%,
10236,72%,
10237,69%,
10238,58%,FeelThere
10239,72%,QuickSave
10240,90%,Hucast Games
10241,85%,Abrakam SA
10242,86%,Tuttifrutti Interactive
10243,78%,Growing Grass Studio
10244,71%,Just1337 Studio
10245,78%,MeshTools
10246,76%,"TT Games, Traveller's Tales"
10247,73%,
10248,73%,"Ubisoft Paris, Ubisoft Annecy, Ubisoft Bucharest, Ubisoft Montpellier, Ubisoft Milan, Reflections, Ubisoft Belgrade"
10249,72%,Threye Interactive
10250,81%,AtomicTorch Studio
10251,52%,SimProse Studios
10252,81%,ZAR 21
10253,63%,Paradox Development Studio
10254,96%,Paradox Development Studio
10255,68%,
10256,82%,High Horse Entertainment
10257,63%,Because I Can
10258,86%,PotionC
10259,83%,
10260,66%,GamersHype Productions
10261,57%,Stage Clear Studios
10262,97%,Suspicious Developments
10263,71%,ChairKilling
10264,57%,KEXBOY
10265,52%,Warfare Studios
10266,67%,Oscar Celestini
10267,50%,Eminent Softworks
10268,68%,Néo-Riki Games
10269,36%,Dagestan Technology
10270,88%,AMPLITUDE Studios
10271,100%,Mastfire Studios Pty Ltd
10272,63%,Fivesyounger Development
10273,93%,warka
10274,61%,ZOV GAME STUDIO
10275,93%,Gigantoraptor Games
10276,69%,Dovetail Games
10277,91%,
10278,80%,
10279,79%,The Foregone Syndicate
10280,38%,2xMilk
10281,51%,Watercolor Games
10282,89%,NerdyYetis
10283,90%,
10284,81%,
10285,81%,Carenado
10286,61%,Atum Software
10287,83%,Jason Lovett
10288,36%,DGames
10289,33%,DGames
10290,83%,LAB132
10291,95%,BottleCube inc.
10292,75%,Conatus Creative Inc.
10293,68%,Vyacheslav Shilikhin
10294,92%,StormBrewers
10295,72%,Team Shuriken
10296,91%,propeller
10297,87%,FantaBlade Network
10298,80%,Pyromancers.com
10299,50%,
10300,100%,Cats Who Play
10301,83%,Redblack Spade
10302,74%,Rebellion
10303,35%,GameWriterStudio
10304,80%,
10305,76%,Simple Ghost
10306,87%,Awesome Games Studio
10307,51%,Cosy Goat
10308,89%,"Daniel Gili, Joaquín Godoy, Emilio Martinez, Bruno Carro"
10309,88%,Mastfire Studios Pty Ltd
10310,78%,Nauris Amatnieks
10311,50%,
10312,100%,"Orrery Games, Blip Haus Design"
10313,93%,kChamp Games
10314,40%,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)"
10315,52%,Pathless Games
10316,79%,Desertkun
10317,50%,Svantech Studios
10318,35%,
10319,82%,Jutsu Games
10320,74%,Jutsu Games
10321,53%,Mgaia Studio
10322,87%,MyDearest
10323,71%,Armstrong Powerhouse
10324,70%,Render System
10325,96%,Joe Richardson
10326,82%,MixedBag Srl
10327,63%,
10328,66%,Sylvain Seccia
10329,87%,Playsport Games
10330,76%,Playsport Games
10331,80%,Choice of Games
10332,86%,Parta Games Oy
10333,83%,"Bat Country Games, LLC"
10334,94%,Something Classic Games LLC
10335,98%,Wispfire
10336,86%,Downward Viral
10337,54%,
10338,96%,Krispy Animation
10339,46%,"HANBITSOFT, INC., IMC GAMES CO.,LTD."
10340,84%,
10341,54%,
10342,61%,MadOut Games
10343,75%,
10344,94%,Ludomotion
10345,90%,Milestone S.r.l.
10346,82%,Funcom
10347,97%,Abigail Corfman
10348,72%,Angel Carriola
10349,93%,"Throwback Entertainment, Criterion Games"
10350,91%,"Psyonix, Inc."
10351,88%,"Psyonix, Inc."
10352,66%,RNC
10353,68%,RETO MOTO
10354,94%,Infinite Fall
10355,100%,BANDAI NAMCO Studios Inc.
10356,100%,BANDAI NAMCO Studios Inc.
10357,91%,WayForward
10358,73%,Quadro Delta
10359,54%,Shindenken
10360,93%,Tri-Coastal Games
10361,94%,ThinkOfGames
10362,87%,Cats Who Play
10363,76%,Robert Pelloni
10364,57%,YarGri
10365,90%,Rebellion
10366,83%,
10367,100%,MindWalker Games
10368,90%,Zetsubou
10369,68%,
10370,79%,Sanuk Games
10371,41%,Sanuk Games
10372,36%,Sanuk Games
10373,39%,White Dog
10374,88%,Quiet River
10375,95%,Presto Studios
10376,75%,AirWave Games
10377,68%,
10378,100%,Blake Garner
10379,73%,"Mez Breeze, Andy Campbell"
10380,91%,Jeroen Wimmers
10381,90%,Uncle Frost Team
10382,38%,Axel Anderson
10383,87%,Microblast Games
10384,80%,Royal Tea Time Studio
10385,91%,
10386,84%,Oliver Boyce
10387,58%,
10388,92%,"Vladimir Beletsky, Mikhail Shvachko"
10389,72%,SharkGame
10390,77%,Perfuse Entertainment
10391,84%,the whale husband
10392,66%,Games++
10393,63%,SmartHart Games
10394,54%,
10395,66%,
10396,100%,Longbow Games
10397,72%,GSC Game World
10398,100%,Harmonious Games
10399,21%,JDRumble
10400,58%,"White Wolf Entertainment, Fula Fisken"
