,all_ratio,developer
362,78%,Sigma Team Inc.
363,70%,Remedy Entertainment
364,59%,"X1 Software, AWAR"
365,66%,Piranha Bytes
366,26%,FireFly Studios
367,80%,Pivotal Games
368,96%,"Edmund McMillen, Florian Himsl"
369,88%,Zeboyd Games
370,86%,Daedalic Entertainment
371,71%,"Standing Stone Games, LLC"
372,94%,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)"
373,58%,Paradox Development Studio
374,70%,Paradox Development Studio
375,83%,Airtight Games
376,74%,"Hardsuit Labs, Inc."
377,22%,Cyanide Studio
378,91%,Cyanide Studios
379,94%,"Rocksteady Studios, Feral Interactive (Mac)"
380,91%,XII Games
381,50%,Yeti Trunk
382,71%,Misfits Attic
383,85%,Ronimo Games
384,92%,Ronimo Games
385,90%,Dovetail Games
386,90%,Dovetail Games
387,60%,Thomson Interactive
388,100%,Dovetail Games
389,92%,Dovetail Games
390,92%,Dovetail Games
391,45%,Dovetail Games
392,81%,Kukouri
393,63%,Coreplay GmbH
394,92%,Rubicon Development
395,50%,Airtight Games
396,41%,Trickstar Games
397,87%,Spooky Squid Games Inc.
398,89%,Vlambeer
399,92%,Robot Entertainment
400,84%,"Monolith Productions, Inc."
401,29%,ASK Homework
402,87%,Dovetail Games
403,83%,Rebellion
404,94%,Runic Games
405,45%,"Games Farm, 3Division"
406,69%,City Interactive
407,25%,Dead Mage
408,70%,Finn Morgan
409,92%,Robot Entertainment
410,98%,The Behemoth
411,97%,The Behemoth
412,96%,The Behemoth
413,17%,BlueGiant Interactive
414,90%,Opus
415,60%,Ubisoft - San Francisco
416,65%,Targem Games
417,50%,Paradox Interactive
418,83%,Torn Banner Studios
419,81%,Croteam
420,67%,Paradox Interactive
421,62%,Gaming Minds
422,62%,IPACS
423,86%,Rebellion
424,85%,Power of 2
425,80%,Dovetail Games
426,65%,Denis Galanin (mif2000)
427,84%,Black Forest Games
428,92%,"Haemimont Games, Feral Interactive (Mac)"
429,93%,MumboJumbo
430,80%,Illwinter Game Design
431,79%,1C-SoftClub
432,77%,Lukewarm Media
433,80%,Eugen Systems
434,91%,Ankama Games
435,25%,"Xavi Canal, Ben Palgi"
436,77%,"Haemimont Games, Feral Interactive (Mac)"
437,49%,Paradox Development Studio
438,83%,MeshTools
439,69%,I-deal Games
440,76%,IonFx
441,88%,Curve Studios
442,88%,SimBin Studios AB
443,100%,Reppo
444,30%,Paradox Development Studio
445,85%,"Haemimont Games, Feral Interactive (Mac)"
446,74%,Eyedentity Games Inc.
447,86%,Subatomic Studios LLC
448,60%,Crankshaft Games
449,47%,Dovetail Games
450,71%,Ascaron
451,72%,MumboJumbo
452,58%,DnS Development
453,50%,The Sims Studio
454,71%,"Capcom U.S.A., Inc."
455,55%,Focus Home Interactive
456,88%,Dovetail Games
457,100%,Dovetail Games
458,96%,SCS Software
459,58%,
460,64%,Jet Set Games
461,66%,Paradox Development Studio
462,92%,Sumo Digital
463,78%,Dovetail Games
464,93%,The Farm 51
465,84%,Cardboard Computer
466,89%,"Ty Taylor and Mario Castañeda, The Quantum Astrophysicists Guild"
467,45%,"Arcen Games, LLC"
468,90%,Puppygames
469,93%,Team17 Digital Ltd
470,71%,Digital Eel
471,89%,The Men Who Wear Many Hats
472,76%,"Redlynx Ltd, Ubisoft  Shanghaï"
473,71%,Carbon Games
474,89%,Zeptolab UK Limited
475,88%,"Sean Han Tani, Marina Kittaka"
476,87%,Artifice Studio
477,72%,3 Sprockets
478,94%,Lukewarm Media
479,94%,"Skybox Labs, Hidden Path Entertainment, Ensemble Studios, Forgotten Empires"
480,85%,Nadeo
481,80%,ACE Team
482,86%,Owlchemy Labs
483,84%,Born Ready Games Ltd.
484,100%,Rich Vreeland (Disasterpeace)
485,92%,Polytron Corporation
486,68%,The Binary Mill
487,59%,"Gravity, Inc."
488,100%,Dovetail Games
489,63%,Dovetail Games
490,87%,Coffee Stain Studios
491,72%,MumboJumbo
492,92%,"HeR Interactive, Inc."
493,78%,11 bit studios
494,22%,Actalogic
495,59%,Mousechief
496,79%,Nival
497,83%,Zeboyd Games
498,66%,"Sperasoft, Inc."
499,39%,"Sperasoft, Inc."
500,33%,Virtuos
501,59%,"Sperasoft, Inc."
502,72%,Dovetail Games
503,82%,Nadeo
504,71%,The Farm 51
505,85%,Frogwares
506,69%,Milestone S.r.l.
507,75%,Team2Bit
508,56%,Brain Slap Studio
509,78%,Dovetail Games
510,84%,NeocoreGames
511,93%,Cellar Door Games
512,80%,nFusion Interactive
513,68%,Eko Software
514,81%,"Codemasters Racing, Feral Interactive (Mac)"
515,31%,Deck 13
516,79%,Dragonfly
517,75%,Nadeo
518,84%,"Codemasters Racing, Feral Interactive (Mac)"
519,86%,
520,76%,Coffee Stain Studios
521,91%,
522,94%,DrinkBox Studios
523,50%,Exato Games Studio
524,95%,Lucas Pope
525,89%,Crackshell
526,33%,Paradox Development Studio
527,31%,Paradox Development Studio
528,10%,Paradox Development Studio
529,55%,Paradox Development Studio
530,81%,Paradox Development Studio
531,69%,Full Control Studios
532,76%,Fullbright
533,90%,Petit Depotto
534,15%,Dark Vale Games
535,86%,Love Conquers All Games
536,64%,Eagle Dynamics SA
537,86%,Threaks
538,85%,Might and Delight
539,95%,Witch Beam
540,80%,Geeta Games
541,81%,
542,52%,Greg Lobanov
543,98%,FullPowerSideAttack.com
544,94%,Greenheart Games
545,76%,U.S. Army
546,73%,
547,84%,Crazy Viking Studios
548,87%,SNK CORPORATION
549,88%,
550,83%,"Mediatonic, The Irregular Corporation"
551,100%,Reppo
552,82%,Phoenix Online Studios
553,85%,Belsimtek
554,69%,"Haemimont Games, Feral Interactive (Mac)"
555,93%,SCS Software
556,63%,
557,62%,North of Earth
558,90%,FreakZone Games
559,61%,Saibot Studios
560,91%,Zootfly
561,44%,
562,51%,Paradox Development Studio
563,63%,Toontraxx Studios
564,89%,Ice-Pick Lodge
565,67%,Auroch Digital
566,63%,Firedance Games
567,70%,Crystal Dynamics
568,97%,MagicalTimeBean
569,94%,Giants Software
570,96%,Giants Software
571,90%,Giants Software
572,66%,Poppermost Productions
573,96%,Influenzo
574,79%,RuneStorm
575,100%,The Farm 51
576,91%,Studio Bean
577,25%,
578,91%,Grinding Gear Games
579,87%,Keen Software House
580,92%,Armstrong Powerhouse
581,81%,Dovetail Games
582,38%,Kuno Interactive
583,93%,SCS Software
584,49%,8th Floor Games
585,87%,Studio Evil
586,74%,BetaDwarf
587,82%,Digital Leisure Inc.
588,74%,"Monochrome, Inc"
589,61%,Scientifically Proven
590,88%,Blue Isle Studios
591,74%,Wales Interactive
592,12%,Actalogic
593,19%,Actalogic
594,95%,Cipher Prime Studios
595,82%,Ex Nihilo
596,77%,11 bit studios
597,66%,11 bit studios
598,90%,QCF Design
599,81%,
600,66%,Filament Games
601,93%,"Hopoo Games, LLC"
602,86%,The Indie Stone
603,95%,Hanako Games
604,87%,Arkedo
605,94%,"Double Eleven, Q-Games Ltd."
606,73%,
607,87%,
608,85%,Triple.B.Titles
609,73%,Spellbound
610,82%,Space Budgie
611,78%,Neko Entertainment
612,60%,Dovetail Games
